date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,7423,4,13,0.000538865687727334,0.3076923076923077,0,0.0,0.0,1,0.0001347164219318335,0.07692307692307693,2,0.000269432843863667,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.0001347164219318335,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,7196,2,13,0.00027793218454697053,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00013896609227348526,0.07692307692307693,1,0.00013896609227348526,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,7305,4,13,0.0005475701574264203,0.3076923076923077,0,0.0,0.0,1,0.00013689253935660506,0.07692307692307693,2,0.0002737850787132101,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00013689253935660506,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,8167,3,13,0.00036733194563487204,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.00036733194563487204,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,8179,3,13,0.0003667930064800098,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00012226433549333658,0.07692307692307693,0,0.0,0.0,2,0.00024452867098667317,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,7560,0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,7825,5,13,0.0006389776357827476,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,2,0.00025559105431309905,0.15384615384615385,1,0.00012779552715654952,0.07692307692307693,0,0.0,0.0,2,0.00025559105431309905,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-02,7976,4,13,0.0005015045135406219,0.3076923076923077,1,0.00012537612838515547,0.07692307692307693,0,0.0,0.0,1,0.00012537612838515547,0.07692307692307693,2,0.00025075225677031093,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,7243,2,13,0.00027612867596299873,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00013806433798149937,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00013806433798149937,0.07692307692307693,0,0.0,0.0
2017-11-04,8369,1,13,0.0001194885888397658,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.0001194885888397658,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-05,7579,5,13,0.0006597176408497163,0.38461538461538464,0,0.0,0.0,1,0.00013194352816994325,0.07692307692307693,3,0.0003958305845098298,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00013194352816994325,0.07692307692307693,0,0.0,0.0
2017-11-06,7806,3,13,0.0003843197540353574,0.23076923076923078,1,0.00012810658467845247,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00025621316935690495,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-07,7638,6,13,0.0007855459544383347,0.46153846153846156,1,0.00013092432573972245,0.07692307692307693,2,0.0002618486514794449,0.15384615384615385,2,0.0002618486514794449,0.15384615384615385,1,0.00013092432573972245,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
