date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,14631,11,13,0.0007518283097532636,0.8461538461538461,3,0.0002050440844781628,0.23076923076923078,0,0.0,0.0,3,0.0002050440844781628,0.23076923076923078,3,0.0002050440844781628,0.23076923076923078,0,0.0,0.0,2,0.0001366960563187752,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,14046,8,13,0.0005695571693008686,0.6153846153846154,0,0.0,0.0,1,7.119464616260858e-05,0.07692307692307693,3,0.00021358393848782572,0.23076923076923078,1,7.119464616260858e-05,0.07692307692307693,0,0.0,0.0,2,0.00014238929232521716,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.119464616260858e-05,0.07692307692307693,0,0.0,0.0
2017-10-28,14194,5,13,0.0003522615189516697,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,5,0.0003522615189516697,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,15377,8,13,0.0005202575274761007,0.6153846153846154,0,0.0,0.0,1,6.503219093451258e-05,0.07692307692307693,1,6.503219093451258e-05,0.07692307692307693,1,6.503219093451258e-05,0.07692307692307693,0,0.0,0.0,5,0.0003251609546725629,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,14155,15,13,0.0010596962204168139,1.1538461538461537,3,0.00021193924408336278,0.23076923076923078,1,7.064641469445426e-05,0.07692307692307693,2,0.00014129282938890852,0.15384615384615385,4,0.00028258565877781704,0.3076923076923077,0,0.0,0.0,3,0.00021193924408336278,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014129282938890852,0.15384615384615385,0,0.0,0.0
2017-10-31,14254,21,13,0.001473270660867125,1.6153846153846154,7,0.0004910902202890417,0.5384615384615384,1,7.015574575557738e-05,0.07692307692307693,2,0.00014031149151115475,0.15384615384615385,8,0.000561245966044619,0.6153846153846154,1,7.015574575557738e-05,0.07692307692307693,2,0.00014031149151115475,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,15452,10,13,0.0006471654154801967,0.7692307692307693,1,6.471654154801968e-05,0.07692307692307693,1,6.471654154801968e-05,0.07692307692307693,3,0.000194149624644059,0.23076923076923078,3,0.000194149624644059,0.23076923076923078,0,0.0,0.0,1,6.471654154801968e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.471654154801968e-05,0.07692307692307693,0,0.0,0.0
2017-11-02,14581,8,13,0.0005486592140456759,0.6153846153846154,1,6.858240175570949e-05,0.07692307692307693,1,6.858240175570949e-05,0.07692307692307693,2,0.00013716480351141897,0.15384615384615385,2,0.00013716480351141897,0.15384615384615385,0,0.0,0.0,2,0.00013716480351141897,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,13238,18,13,0.0013597220123885783,1.3846153846153846,3,0.0002266203353980964,0.23076923076923078,1,7.554011179936546e-05,0.07692307692307693,5,0.0003777005589968273,0.38461538461538464,8,0.0006043208943949237,0.6153846153846154,1,7.554011179936546e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,13851,6,13,0.00043318171973142733,0.46153846153846156,0,0.0,0.0,1,7.219695328857122e-05,0.07692307692307693,3,0.00021659085986571366,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,2,0.00014439390657714244,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-05,13815,8,13,0.0005790807093738689,0.6153846153846154,0,0.0,0.0,1,7.238508867173362e-05,0.07692307692307693,1,7.238508867173362e-05,0.07692307692307693,2,0.00014477017734346723,0.15384615384615385,0,0.0,0.0,2,0.00014477017734346723,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014477017734346723,0.15384615384615385,0,0.0,0.0
2017-11-06,13627,4,13,0.00029353489396051957,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.00022015117047038968,0.23076923076923078,0,0.0,0.0,1,7.338372349012989e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-07,14077,5,13,0.00035518931590537754,0.38461538461538464,1,7.103786318107552e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,3,0.00021311358954322654,0.23076923076923078,0,0.0,0.0,1,7.103786318107552e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-08,13707,14,13,0.001021375939301087,1.0769230769230769,2,0.00014591084847158386,0.15384615384615385,1,7.295542423579193e-05,0.07692307692307693,2,0.00014591084847158386,0.15384615384615385,7,0.0005106879696505435,0.5384615384615384,0,0.0,0.0,2,0.00014591084847158386,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-09,14645,4,13,0.00027313076135199724,0.3076923076923077,1,6.828269033799931e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00013656538067599862,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.828269033799931e-05,0.07692307692307693,0,0.0,0.0
2017-11-10,13409,4,13,0.00029830710716682824,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.00029830710716682824,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-11,12911,15,13,0.0011618000154906669,1.1538461538461537,3,0.00023236000309813338,0.23076923076923078,1,7.745333436604446e-05,0.07692307692307693,3,0.00023236000309813338,0.23076923076923078,5,0.0003872666718302223,0.38461538461538464,0,0.0,0.0,2,0.00015490666873208892,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.745333436604446e-05,0.07692307692307693,0,0.0,0.0
2017-11-12,13350,14,13,0.001048689138576779,1.0769230769230769,1,7.49063670411985e-05,0.07692307692307693,1,7.49063670411985e-05,0.07692307692307693,5,0.0003745318352059925,0.38461538461538464,4,0.000299625468164794,0.3076923076923077,0,0.0,0.0,2,0.000149812734082397,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.49063670411985e-05,0.07692307692307693,0,0.0,0.0
