date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,8870,6,13,0.0006764374295377678,0.46153846153846156,1,0.00011273957158962796,0.07692307692307693,0,0.0,0.0,1,0.00011273957158962796,0.07692307692307693,2,0.00022547914317925591,0.15384615384615385,0,0.0,0.0,2,0.00022547914317925591,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,9154,15,13,0.0016386279222197946,1.1538461538461537,1,0.00010924186148131964,0.07692307692307693,1,0.00010924186148131964,0.07692307692307693,2,0.00021848372296263927,0.15384615384615385,7,0.0007646930303692375,0.5384615384615384,0,0.0,0.0,4,0.00043696744592527855,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,9543,7,13,0.0007335219532641727,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,4,0.00041915540186524154,0.3076923076923077,1,0.00010478885046631039,0.07692307692307693,0,0.0,0.0,2,0.00020957770093262077,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,9875,8,13,0.0008101265822784811,0.6153846153846154,1,0.00010126582278481013,0.07692307692307693,1,0.00010126582278481013,0.07692307692307693,2,0.00020253164556962027,0.15384615384615385,2,0.00020253164556962027,0.15384615384615385,0,0.0,0.0,2,0.00020253164556962027,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,10530,6,13,0.0005698005698005698,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,3,0.0002849002849002849,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,3,0.0002849002849002849,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,9435,6,13,0.0006359300476947536,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,1,0.00010598834128245893,0.07692307692307693,4,0.00042395336512983573,0.3076923076923077,0,0.0,0.0,1,0.00010598834128245893,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,10111,9,13,0.0008901196716447434,0.6923076923076923,2,0.00019780437147660964,0.15384615384615385,0,0.0,0.0,1,9.890218573830482e-05,0.07692307692307693,4,0.0003956087429532193,0.3076923076923077,0,0.0,0.0,1,9.890218573830482e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.890218573830482e-05,0.07692307692307693,0,0.0,0.0
2017-11-02,9110,7,13,0.0007683863885839736,0.5384615384615384,0,0.0,0.0,1,0.0001097694840834248,0.07692307692307693,2,0.0002195389681668496,0.15384615384615385,2,0.0002195389681668496,0.15384615384615385,0,0.0,0.0,1,0.0001097694840834248,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0001097694840834248,0.07692307692307693,0,0.0,0.0
2017-11-03,9397,15,13,0.0015962541236564862,1.1538461538461537,4,0.0004256677663083963,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,6,0.0006385016494625945,0.46153846153846156,0,0.0,0.0,5,0.0005320847078854954,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,9518,14,13,0.0014708972473208657,1.0769230769230769,4,0.0004202563563773902,0.3076923076923077,0,0.0,0.0,1,0.00010506408909434755,0.07692307692307693,6,0.0006303845345660853,0.46153846153846156,0,0.0,0.0,2,0.0002101281781886951,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010506408909434755,0.07692307692307693,0,0.0,0.0
2017-11-05,10052,14,13,0.001392757660167131,1.0769230769230769,0,0.0,0.0,0,0.0,0.0,1,9.948269001193792e-05,0.07692307692307693,5,0.0004974134500596896,0.38461538461538464,0,0.0,0.0,8,0.0007958615200955034,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-06,9176,14,13,0.0015257192676547515,1.0769230769230769,0,0.0,0.0,0,0.0,0.0,3,0.00032693984306887534,0.23076923076923078,6,0.0006538796861377507,0.46153846153846156,0,0.0,0.0,4,0.00043591979075850045,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010897994768962511,0.07692307692307693,0,0.0,0.0
2017-11-07,10278,7,13,0.0006810663553220471,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.0003891807744697412,0.3076923076923077,0,0.0,0.0,3,0.0002918855808523059,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-08,9388,3,13,0.0003195568811248402,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,0.00010651896037494674,0.07692307692307693,2,0.00021303792074989347,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-09,9800,11,13,0.0011224489795918367,0.8461538461538461,2,0.00020408163265306123,0.15384615384615385,0,0.0,0.0,3,0.0003061224489795918,0.23076923076923078,5,0.0005102040816326531,0.38461538461538464,0,0.0,0.0,1,0.00010204081632653062,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-10,9501,3,13,0.00031575623618566466,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010525207872855489,0.07692307692307693,0,0.0,0.0,2,0.00021050415745710977,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-11,9820,7,13,0.0007128309572301426,0.5384615384615384,0,0.0,0.0,1,0.00010183299389002037,0.07692307692307693,3,0.0003054989816700611,0.23076923076923078,1,0.00010183299389002037,0.07692307692307693,0,0.0,0.0,1,0.00010183299389002037,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010183299389002037,0.07692307692307693,0,0.0,0.0
2017-11-12,10616,4,13,0.00037678975131876413,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.00018839487565938207,0.15384615384615385,2,0.00018839487565938207,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-13,9798,3,13,0.0003061849357011635,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.0003061849357011635,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-14,9544,14,13,0.0014668901927912825,1.0769230769230769,0,0.0,0.0,1,0.00010477787091366304,0.07692307692307693,2,0.00020955574182732607,0.15384615384615385,5,0.0005238893545683152,0.38461538461538464,0,0.0,0.0,3,0.0003143336127409891,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010477787091366304,0.07692307692307693,0,0.0,0.0,2,0.00020955574182732607,0.15384615384615385,0,0.0,0.0
2017-11-15,9933,7,13,0.0007047216349541931,0.5384615384615384,0,0.0,0.0,1,0.00010067451927917044,0.07692307692307693,2,0.00020134903855834087,0.15384615384615385,1,0.00010067451927917044,0.07692307692307693,0,0.0,0.0,2,0.00020134903855834087,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010067451927917044,0.07692307692307693,0,0.0,0.0
2017-11-16,9515,6,13,0.0006305832895428271,0.46153846153846156,1,0.00010509721492380452,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,3,0.00031529164477141355,0.23076923076923078,0,0.0,0.0,2,0.00021019442984760903,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
