date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,34007,21,13,0.000617519922368924,1.6153846153846154,3,8.821713176698915e-05,0.23076923076923078,3,8.821713176698915e-05,0.23076923076923078,6,0.0001764342635339783,0.46153846153846156,6,0.0001764342635339783,0.46153846153846156,0,0.0,0.0,2,5.881142117799277e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2.9405710588996384e-05,0.07692307692307693,0,0.0,0.0
2017-10-27,32278,13,13,0.00040275109982031105,1.0,1,3.098085383233162e-05,0.07692307692307693,0,0.0,0.0,3,9.294256149699486e-05,0.23076923076923078,4,0.00012392341532932647,0.3076923076923077,0,0.0,0.0,4,0.00012392341532932647,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.098085383233162e-05,0.07692307692307693,0,0.0,0.0
2017-10-28,33273,15,13,0.00045081597691822196,1.1538461538461537,0,0.0,0.0,3,9.01631953836444e-05,0.23076923076923078,4,0.0001202175938448592,0.3076923076923077,1,3.00543984612148e-05,0.07692307692307693,0,0.0,0.0,6,0.0001803263907672888,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.00543984612148e-05,0.07692307692307693,0,0.0,0.0
2017-10-29,32477,22,13,0.0006774024694399113,1.6923076923076923,0,0.0,0.0,1,3.079102133817779e-05,0.07692307692307693,8,0.0002463281707054223,0.6153846153846154,3,9.237306401453336e-05,0.23076923076923078,0,0.0,0.0,10,0.00030791021338177785,0.7692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,32035,17,13,0.0005306695801467145,1.3076923076923077,2,6.243171531137818e-05,0.15384615384615385,1,3.121585765568909e-05,0.07692307692307693,2,6.243171531137818e-05,0.15384615384615385,2,6.243171531137818e-05,0.15384615384615385,1,3.121585765568909e-05,0.07692307692307693,9,0.0002809427189012018,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,30986,12,13,0.0003872716710772607,0.9230769230769231,1,3.227263925643839e-05,0.07692307692307693,0,0.0,0.0,6,0.00019363583553863036,0.46153846153846156,1,3.227263925643839e-05,0.07692307692307693,0,0.0,0.0,3,9.681791776931518e-05,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.227263925643839e-05,0.07692307692307693,0,0.0,0.0
2017-11-01,31645,16,13,0.0005056091009638173,1.2307692307692308,3,9.480170643071575e-05,0.23076923076923078,0,0.0,0.0,3,9.480170643071575e-05,0.23076923076923078,4,0.00012640227524095434,0.3076923076923077,1,3.1600568810238584e-05,0.07692307692307693,2,6.320113762047717e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,9.480170643071575e-05,0.23076923076923078,0,0.0,0.0
2017-11-02,32903,13,13,0.0003951007506914263,1.0,1,3.0392365437802025e-05,0.07692307692307693,1,3.0392365437802025e-05,0.07692307692307693,3,9.117709631340607e-05,0.23076923076923078,4,0.0001215694617512081,0.3076923076923077,0,0.0,0.0,3,9.117709631340607e-05,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.0392365437802025e-05,0.07692307692307693,0,0.0,0.0
2017-11-03,31583,43,13,0.0013614919418674604,3.3076923076923075,9,0.0002849634296931894,0.6923076923076923,4,0.00012665041319697304,0.3076923076923077,11,0.0003482886362916759,0.8461538461538461,13,0.0004116138428901624,1.0,0,0.0,0.0,5,0.00015831301649621633,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.166260329924326e-05,0.07692307692307693,0,0.0,0.0
2017-11-04,34307,26,13,0.0007578628268283441,2.0,3,8.744571078788585e-05,0.23076923076923078,0,0.0,0.0,5,0.00014574285131314308,0.38461538461538464,9,0.00026233713236365754,0.6923076923076923,0,0.0,0.0,8,0.00023318856210102895,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2.914857026262862e-05,0.07692307692307693,0,0.0,0.0
