date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,16379,9,13,0.000549484095488125,0.6923076923076923,0,0.0,0.0,1,6.105378838756945e-05,0.07692307692307693,3,0.00018316136516270836,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,3,0.00018316136516270836,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0001221075767751389,0.15384615384615385,0,0.0,0.0
2017-10-27,15559,9,13,0.000578443344687962,0.6923076923076923,0,0.0,0.0,1,6.427148274310688e-05,0.07692307692307693,3,0.00019281444822932066,0.23076923076923078,1,6.427148274310688e-05,0.07692307692307693,0,0.0,0.0,2,0.00012854296548621375,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00012854296548621375,0.15384615384615385,0,0.0,0.0
2017-10-28,16699,6,13,0.00035930295227259117,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,1,5.9883825378765195e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,4,0.00023953530151506078,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,5.9883825378765195e-05,0.07692307692307693,0,0.0,0.0
2017-10-29,16890,12,13,0.0007104795737122557,0.9230769230769231,0,0.0,0.0,2,0.00011841326228537596,0.15384615384615385,8,0.00047365304914150384,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,1,5.920663114268798e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,5.920663114268798e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,15993,5,13,0.0003126367785906334,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,1,6.252735571812669e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,3,0.00018758206715438003,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.252735571812669e-05,0.07692307692307693,0,0.0,0.0
2017-10-31,15103,4,13,0.00026484804343507914,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.00013242402171753957,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,2,0.00013242402171753957,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,14891,3,13,0.00020146397152642537,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,6.715465717547512e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,6.715465717547512e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.715465717547512e-05,0.07692307692307693,0,0.0,0.0
2017-11-02,15352,7,13,0.00045596664929650857,0.5384615384615384,2,0.00013027618551328816,0.15384615384615385,0,0.0,0.0,1,6.513809275664408e-05,0.07692307692307693,2,0.00013027618551328816,0.15384615384615385,0,0.0,0.0,2,0.00013027618551328816,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,14624,17,13,0.001162472647702407,1.3076923076923077,1,6.838074398249453e-05,0.07692307692307693,2,0.00013676148796498905,0.15384615384615385,4,0.0002735229759299781,0.3076923076923077,2,0.00013676148796498905,0.15384615384615385,0,0.0,0.0,5,0.00034190371991247264,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.838074398249453e-05,0.07692307692307693,0,0.0,0.0,2,0.00013676148796498905,0.15384615384615385,0,0.0,0.0
2017-11-04,16212,4,13,0.0002467308166790032,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.0001233654083395016,0.15384615384615385,1,6.16827041697508e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.16827041697508e-05,0.07692307692307693,0,0.0,0.0
2017-11-05,15012,12,13,0.0007993605115907274,0.9230769230769231,2,0.0001332267519317879,0.15384615384615385,1,6.661337596589395e-05,0.07692307692307693,4,0.0002664535038635758,0.3076923076923077,4,0.0002664535038635758,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.661337596589395e-05,0.07692307692307693,0,0.0,0.0
2017-11-06,15437,48,13,0.0031094124506056875,3.6923076923076925,14,0.0009069119647599922,1.0769230769230769,0,0.0,0.0,2,0.00012955885210857033,0.15384615384615385,30,0.0019433827816285549,2.3076923076923075,0,0.0,0.0,2,0.00012955885210857033,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-07,16369,11,13,0.000672001954914778,0.8461538461538461,2,0.00012218217362086872,0.15384615384615385,0,0.0,0.0,1,6.109108681043436e-05,0.07692307692307693,6,0.0003665465208626061,0.46153846153846156,0,0.0,0.0,2,0.00012218217362086872,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-08,15411,16,13,0.0010382194536370125,1.2307692307692308,5,0.0003244435792615664,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,9,0.0005839984426708196,0.6923076923076923,0,0.0,0.0,1,6.488871585231328e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.488871585231328e-05,0.07692307692307693,0,0.0,0.0
2017-11-09,15694,2,13,0.00012743723716069835,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00012743723716069835,0.15384615384615385,0,0.0,0.0
2017-11-10,15004,3,13,0.0001999466808850973,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,6.664889362836577e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00013329778725673153,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-11,18481,10,13,0.0005410962610248363,0.7692307692307693,0,0.0,0.0,1,5.410962610248363e-05,0.07692307692307693,4,0.00021643850440993453,0.3076923076923077,3,0.0001623288783074509,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00010821925220496727,0.15384615384615385,0,0.0,0.0
2017-11-12,17029,9,13,0.0005285101885019672,0.6923076923076923,1,5.872335427799636e-05,0.07692307692307693,2,0.00011744670855599271,0.15384615384615385,4,0.00023489341711198543,0.3076923076923077,2,0.00011744670855599271,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-13,15681,7,13,0.000446400102034309,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,3,0.0001913143294432753,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,3,0.0001913143294432753,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.377144314775843e-05,0.07692307692307693,0,0.0,0.0
2017-11-14,15549,7,13,0.0004501897228117564,0.5384615384615384,0,0.0,0.0,1,6.431281754453663e-05,0.07692307692307693,4,0.0002572512701781465,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00012862563508907326,0.15384615384615385,0,0.0,0.0
2017-11-15,15409,3,13,0.0001946914141086378,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.48971380362126e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0001297942760724252,0.15384615384615385,0,0.0,0.0
2017-11-16,13327,3,13,0.00022510692578975013,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,7.503564192991671e-05,0.07692307692307693,1,7.503564192991671e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.503564192991671e-05,0.07692307692307693,0,0.0,0.0
2017-11-17,13745,4,13,0.0002910149145143689,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.00014550745725718444,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,7.275372862859222e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.275372862859222e-05,0.07692307692307693,0,0.0,0.0
2017-11-18,14192,4,13,0.0002818489289740699,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.00014092446448703494,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,2,0.00014092446448703494,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
