date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,21800,8,13,0.0003669724770642202,0.6153846153846154,2,9.174311926605505e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,3,0.00013761467889908258,0.23076923076923078,0,0.0,0.0,3,0.00013761467889908258,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,21371,10,13,0.0004679238220017781,0.7692307692307693,0,0.0,0.0,0,0.0,0.0,5,0.00023396191100088904,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,3,0.00014037714660053343,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,9.358476440035563e-05,0.15384615384615385,0,0.0,0.0
2017-10-28,21231,9,13,0.000423908435777872,0.6923076923076923,2,9.420187461730488e-05,0.15384615384615385,0,0.0,0.0,1,4.710093730865244e-05,0.07692307692307693,5,0.00023550468654326222,0.38461538461538464,0,0.0,0.0,1,4.710093730865244e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,23353,6,13,0.000256926304971524,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,2,8.564210165717467e-05,0.15384615384615385,4,0.00017128420331434933,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,22304,19,13,0.0008518651362984218,1.4615384615384615,2,8.96700143472023e-05,0.15384615384615385,0,0.0,0.0,5,0.00022417503586800574,0.38461538461538464,4,0.0001793400286944046,0.3076923076923077,0,0.0,0.0,8,0.0003586800573888092,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,22496,14,13,0.0006223328591749644,1.0769230769230769,1,4.4452347083926033e-05,0.07692307692307693,0,0.0,0.0,5,0.00022226173541963016,0.38461538461538464,2,8.890469416785207e-05,0.15384615384615385,1,4.4452347083926033e-05,0.07692307692307693,3,0.0001333570412517781,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,8.890469416785207e-05,0.15384615384615385,0,0.0,0.0
2017-11-01,23603,12,13,0.0005084099478879804,0.9230769230769231,0,0.0,0.0,0,0.0,0.0,2,8.473499131466339e-05,0.15384615384615385,3,0.0001271024869719951,0.23076923076923078,0,0.0,0.0,1,4.2367495657331696e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,0.0002542049739439902,0.46153846153846156,0,0.0,0.0
2017-11-02,22695,26,13,0.0011456267900418595,2.0,3,0.00013218770654329148,0.23076923076923078,2,8.812513769552766e-05,0.15384615384615385,4,0.0001762502753910553,0.3076923076923077,13,0.0005728133950209297,1.0,0,0.0,0.0,3,0.00013218770654329148,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.406256884776383e-05,0.07692307692307693,0,0.0,0.0
2017-11-03,21056,21,13,0.0009973404255319148,1.6153846153846154,3,0.0001424772036474164,0.23076923076923078,3,0.0001424772036474164,0.23076923076923078,6,0.0002849544072948328,0.46153846153846156,8,0.00037993920972644377,0.6153846153846154,0,0.0,0.0,1,4.749240121580547e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,21734,13,13,0.0005981411613140701,1.0,1,4.601085856262078e-05,0.07692307692307693,1,4.601085856262078e-05,0.07692307692307693,5,0.00023005429281310389,0.38461538461538464,4,0.00018404343425048312,0.3076923076923077,0,0.0,0.0,1,4.601085856262078e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.601085856262078e-05,0.07692307692307693,0,0.0,0.0
2017-11-05,20792,9,13,0.00043285879184301655,0.6923076923076923,3,0.00014428626394767218,0.23076923076923078,0,0.0,0.0,1,4.809542131589073e-05,0.07692307692307693,5,0.00024047710657945363,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
