date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,10389,6,13,0.0005775339301183945,0.46153846153846156,0,0.0,0.0,1,9.62556550197324e-05,0.07692307692307693,3,0.00028876696505919725,0.23076923076923078,1,9.62556550197324e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.62556550197324e-05,0.07692307692307693,0,0.0,0.0
2017-10-27,10280,5,13,0.00048638132295719845,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,3,0.00029182879377431906,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,2,0.0001945525291828794,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,10798,9,13,0.0008334876829042416,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,6,0.0005556584552694943,0.46153846153846156,2,0.00018521948508983145,0.15384615384615385,0,0.0,0.0,1,9.260974254491573e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,10822,8,13,0.0007392348918868971,0.6153846153846154,1,9.240436148586214e-05,0.07692307692307693,1,9.240436148586214e-05,0.07692307692307693,3,0.0002772130844575864,0.23076923076923078,1,9.240436148586214e-05,0.07692307692307693,0,0.0,0.0,2,0.00018480872297172427,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,10433,2,13,0.00019169941531678328,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00019169941531678328,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,10371,2,13,0.00019284543438434094,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.642271719217047e-05,0.07692307692307693,0,0.0,0.0,1,9.642271719217047e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,11116,6,13,0.0005397625044980209,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0001799208348326736,0.15384615384615385,0,0.0,0.0,1,8.99604174163368e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.00026988125224901044,0.23076923076923078,0,0.0,0.0
2017-11-02,10506,9,13,0.0008566533409480297,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,1,9.518370454978108e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,8,0.0007614696363982486,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,10184,6,13,0.000589159465828751,0.46153846153846156,0,0.0,0.0,1,9.819324430479184e-05,0.07692307692307693,3,0.0002945797329143755,0.23076923076923078,1,9.819324430479184e-05,0.07692307692307693,0,0.0,0.0,1,9.819324430479184e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,10341,4,13,0.0003868097862875931,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.00019340489314379654,0.15384615384615385,1,9.670244657189827e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.670244657189827e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
