date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,13366,5,13,0.0003740834954361814,0.38461538461538464,1,7.481669908723627e-05,0.07692307692307693,1,7.481669908723627e-05,0.07692307692307693,1,7.481669908723627e-05,0.07692307692307693,2,0.00014963339817447254,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,13174,5,13,0.00037953544861090024,0.38461538461538464,0,0.0,0.0,1,7.590708972218005e-05,0.07692307692307693,3,0.00022772126916654014,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.590708972218005e-05,0.07692307692307693,0,0.0,0.0
2017-10-28,12785,7,13,0.0005475166210402815,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,1,7.821666014861165e-05,0.07692307692307693,1,7.821666014861165e-05,0.07692307692307693,0,0.0,0.0,2,0.0001564333202972233,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.00023464998044583498,0.23076923076923078,0,0.0,0.0
2017-10-29,16607,9,13,0.0005419401457216836,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,1,6.021557174685374e-05,0.07692307692307693,1,6.021557174685374e-05,0.07692307692307693,0,0.0,0.0,6,0.0003612934304811224,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.021557174685374e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,14833,9,13,0.0006067552079822018,0.6923076923076923,1,6.741724533135576e-05,0.07692307692307693,0,0.0,0.0,1,6.741724533135576e-05,0.07692307692307693,1,6.741724533135576e-05,0.07692307692307693,0,0.0,0.0,4,0.00026966898132542303,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00013483449066271151,0.15384615384615385,0,0.0,0.0
2017-10-31,12661,17,13,0.0013427059473975198,1.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11,0.0008688097306689834,0.8461538461538461,2,0.00015796540557617883,0.15384615384615385,2,0.00015796540557617883,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00015796540557617883,0.15384615384615385,0,0.0,0.0
2017-11-01,14956,9,13,0.0006017651778550414,0.6923076923076923,2,0.0001337255950788981,0.15384615384615385,0,0.0,0.0,1,6.686279753944904e-05,0.07692307692307693,3,0.00020058839261834715,0.23076923076923078,0,0.0,0.0,1,6.686279753944904e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0001337255950788981,0.15384615384615385,0,0.0,0.0
2017-11-02,14359,7,13,0.00048749912946584025,0.5384615384615384,1,6.964273278083432e-05,0.07692307692307693,1,6.964273278083432e-05,0.07692307692307693,1,6.964273278083432e-05,0.07692307692307693,3,0.00020892819834250295,0.23076923076923078,0,0.0,0.0,1,6.964273278083432e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,13161,6,13,0.00045589240939138365,0.46153846153846156,1,7.598206823189727e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00015196413646379454,0.15384615384615385,0,0.0,0.0,3,0.00022794620469569182,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,13163,70,13,0.005317936640583454,5.384615384615385,2,0.00015194104687381296,0.15384615384615385,2,0.00015194104687381296,0.15384615384615385,3,0.00022791157031071943,0.23076923076923078,31,0.002355086226544101,2.3846153846153846,0,0.0,0.0,3,0.00022791157031071943,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,29,0.002203145179670288,2.230769230769231,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
