date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,12560,8,13,0.0006369426751592356,0.6153846153846154,0,0.0,0.0,2,0.0001592356687898089,0.15384615384615385,5,0.0003980891719745223,0.38461538461538464,1,7.961783439490445e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,11596,8,13,0.0006898930665746809,0.6153846153846154,2,0.00017247326664367022,0.15384615384615385,0,0.0,0.0,2,0.00017247326664367022,0.15384615384615385,2,0.00017247326664367022,0.15384615384615385,0,0.0,0.0,2,0.00017247326664367022,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,11044,10,13,0.0009054690329590728,0.7692307692307693,1,9.054690329590728e-05,0.07692307692307693,0,0.0,0.0,2,0.00018109380659181456,0.15384615384615385,1,9.054690329590728e-05,0.07692307692307693,0,0.0,0.0,6,0.0005432814197754436,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,14648,9,13,0.0006144183506280721,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,3,0.00020480611687602403,0.23076923076923078,2,0.00013653741125068268,0.15384615384615385,0,0.0,0.0,3,0.00020480611687602403,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.826870562534134e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,12655,3,13,0.0002370604504148558,0.23076923076923078,1,7.902015013828527e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,7.902015013828527e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.902015013828527e-05,0.07692307692307693,0,0.0,0.0
2017-10-31,12032,6,13,0.0004986702127659574,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,3,0.0002493351063829787,0.23076923076923078,2,0.00016622340425531914,0.15384615384615385,0,0.0,0.0,1,8.311170212765957e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,12048,9,13,0.000747011952191235,0.6923076923076923,1,8.300132802124833e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,4,0.00033200531208499334,0.3076923076923077,0,0.0,0.0,3,0.000249003984063745,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.300132802124833e-05,0.07692307692307693,0,0.0,0.0
2017-11-02,12107,12,13,0.0009911621376063435,0.9230769230769231,1,8.259684480052862e-05,0.07692307692307693,1,8.259684480052862e-05,0.07692307692307693,3,0.0002477905344015859,0.23076923076923078,6,0.0004955810688031717,0.46153846153846156,0,0.0,0.0,1,8.259684480052862e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,11195,4,13,0.0003573023671281822,0.3076923076923077,1,8.932559178204556e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.0001786511835640911,0.15384615384615385,0,0.0,0.0,1,8.932559178204556e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,11465,9,13,0.0007849978194505015,0.6923076923076923,1,8.722197993894462e-05,0.07692307692307693,1,8.722197993894462e-05,0.07692307692307693,2,0.00017444395987788923,0.15384615384615385,3,0.00026166593981683385,0.23076923076923078,0,0.0,0.0,1,8.722197993894462e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.722197993894462e-05,0.07692307692307693,0,0.0,0.0
2017-11-05,13543,4,13,0.0002953555342243225,0.3076923076923077,1,7.383888355608063e-05,0.07692307692307693,1,7.383888355608063e-05,0.07692307692307693,1,7.383888355608063e-05,0.07692307692307693,1,7.383888355608063e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
