date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,13573,2,13,0.00014735135931628969,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.367567965814484e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.367567965814484e-05,0.07692307692307693
2017-10-27,13353,2,13,0.00014977907586310194,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.488953793155097e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.488953793155097e-05,0.07692307692307693,0,0.0,0.0
2017-10-28,13986,4,13,0.000286000286000286,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,1,7.15000715000715e-05,0.07692307692307693,1,7.15000715000715e-05,0.07692307692307693,0,0.0,0.0,1,7.15000715000715e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.15000715000715e-05,0.07692307692307693,0,0.0,0.0
2017-10-29,16079,7,13,0.00043535045711797995,0.5384615384615384,1,6.219292244542571e-05,0.07692307692307693,0,0.0,0.0,2,0.00012438584489085142,0.15384615384615385,1,6.219292244542571e-05,0.07692307692307693,0,0.0,0.0,2,0.00012438584489085142,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.219292244542571e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,14337,14,13,0.0009764943851572854,1.0769230769230769,2,0.0001394991978796122,0.15384615384615385,2,0.0001394991978796122,0.15384615384615385,2,0.0001394991978796122,0.15384615384615385,3,0.0002092487968194183,0.23076923076923078,0,0.0,0.0,2,0.0001394991978796122,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.0002092487968194183,0.23076923076923078,0,0.0,0.0
2017-10-31,14146,4,13,0.0002827654460624912,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,3,0.00021207408454686837,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.06913615156228e-05,0.07692307692307693,0,0.0,0.0
2017-11-01,14667,11,13,0.0007499829549328424,0.8461538461538461,0,0.0,0.0,0,0.0,0.0,6,0.00040908161178155044,0.46153846153846156,1,6.81802686302584e-05,0.07692307692307693,0,0.0,0.0,2,0.0001363605372605168,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0001363605372605168,0.15384615384615385,0,0.0,0.0
2017-11-02,14530,12,13,0.0008258774948382657,0.9230769230769231,1,6.882312456985548e-05,0.07692307692307693,1,6.882312456985548e-05,0.07692307692307693,3,0.00020646937370956642,0.23076923076923078,3,0.00020646937370956642,0.23076923076923078,0,0.0,0.0,1,6.882312456985548e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00013764624913971095,0.15384615384615385,1,6.882312456985548e-05,0.07692307692307693
2017-11-03,13760,13,13,0.0009447674418604651,1.0,2,0.00014534883720930232,0.15384615384615385,1,7.267441860465116e-05,0.07692307692307693,2,0.00014534883720930232,0.15384615384615385,6,0.00043604651162790697,0.46153846153846156,0,0.0,0.0,1,7.267441860465116e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.267441860465116e-05,0.07692307692307693,0,0.0,0.0
2017-11-04,15647,7,13,0.0004473701028951237,0.5384615384615384,1,6.391001469930338e-05,0.07692307692307693,0,0.0,0.0,2,0.00012782002939860676,0.15384615384615385,2,0.00012782002939860676,0.15384615384615385,0,0.0,0.0,2,0.00012782002939860676,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
