date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,6147,7,13,0.001138766878151944,0.5384615384615384,1,0.00016268098259313488,0.07692307692307693,1,0.00016268098259313488,0.07692307692307693,3,0.0004880429477794046,0.23076923076923078,1,0.00016268098259313488,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00016268098259313488,0.07692307692307693,0,0.0,0.0
2017-10-27,6494,4,13,0.0006159531875577456,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,1,0.0001539882968894364,0.07692307692307693,2,0.0003079765937788728,0.15384615384615385,0,0.0,0.0,1,0.0001539882968894364,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,6488,3,13,0.0004623921085080148,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,2,0.00030826140567200987,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00015413070283600493,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,6048,2,13,0.00033068783068783067,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00033068783068783067,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,6108,8,13,0.0013097576948264572,0.6153846153846154,3,0.0004911591355599214,0.23076923076923078,0,0.0,0.0,1,0.00016371971185330714,0.07692307692307693,4,0.0006548788474132286,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,6676,3,13,0.0004493708807669263,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00014979029358897544,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00014979029358897544,0.07692307692307693,1,0.00014979029358897544,0.07692307692307693,0,0.0,0.0
2017-11-01,6407,5,13,0.0007803964413922273,0.38461538461538464,1,0.00015607928827844546,0.07692307692307693,1,0.00015607928827844546,0.07692307692307693,2,0.0003121585765568909,0.15384615384615385,1,0.00015607928827844546,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-02,6237,9,13,0.001443001443001443,0.6923076923076923,1,0.000160333493666827,0.07692307692307693,0,0.0,0.0,3,0.000481000481000481,0.23076923076923078,5,0.000801667468334135,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,6521,5,13,0.0007667535654040791,0.38461538461538464,1,0.00015335071308081582,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,3,0.00046005213924244745,0.23076923076923078,0,0.0,0.0,1,0.00015335071308081582,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,6333,5,13,0.0007895152376440866,0.38461538461538464,0,0.0,0.0,1,0.00015790304752881732,0.07692307692307693,4,0.0006316121901152693,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-05,5785,7,13,0.0012100259291270526,0.5384615384615384,1,0.00017286084701815038,0.07692307692307693,1,0.00017286084701815038,0.07692307692307693,2,0.00034572169403630077,0.15384615384615385,2,0.00034572169403630077,0.15384615384615385,0,0.0,0.0,1,0.00017286084701815038,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-06,6054,7,13,0.0011562603237528907,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,1,0.00016518004625041294,0.07692307692307693,5,0.0008259002312520648,0.38461538461538464,0,0.0,0.0,1,0.00016518004625041294,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-07,6970,1,13,0.00014347202295552367,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00014347202295552367,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-08,6419,4,13,0.0006231500233681258,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.0003115750116840629,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00015578750584203146,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00015578750584203146,0.07692307692307693,0,0.0,0.0
2017-11-09,6449,13,13,0.002015816405644286,1.0,2,0.0003101256008683517,0.15384615384615385,0,0.0,0.0,2,0.0003101256008683517,0.15384615384615385,6,0.000930376802605055,0.46153846153846156,0,0.0,0.0,3,0.0004651884013025275,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-10,6237,8,13,0.001282667949334616,0.6153846153846154,0,0.0,0.0,2,0.000320666987333654,0.15384615384615385,3,0.000481000481000481,0.23076923076923078,1,0.000160333493666827,0.07692307692307693,0,0.0,0.0,1,0.000160333493666827,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.000160333493666827,0.07692307692307693,0,0.0,0.0
2017-11-11,6128,2,13,0.00032637075718015666,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00016318537859007833,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00016318537859007833,0.07692307692307693,0,0.0,0.0
2017-11-12,6305,3,13,0.00047581284694686756,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00031720856463124506,0.15384615384615385,0,0.0,0.0,1,0.00015860428231562253,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-13,6093,2,13,0.0003282455276546857,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0003282455276546857,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-14,5905,4,13,0.0006773920406435225,0.3076923076923077,1,0.00016934801016088062,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00033869602032176124,0.15384615384615385,0,0.0,0.0,1,0.00016934801016088062,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-15,6199,6,13,0.0009678980480722697,0.46153846153846156,1,0.00016131634134537829,0.07692307692307693,0,0.0,0.0,3,0.00048394902403613486,0.23076923076923078,2,0.00032263268269075657,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-16,6194,6,13,0.0009686793671294801,0.46153846153846156,0,0.0,0.0,1,0.00016144656118824668,0.07692307692307693,2,0.00032289312237649337,0.15384615384615385,3,0.00048433968356474005,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-17,6468,6,13,0.0009276437847866419,0.46153846153846156,0,0.0,0.0,1,0.00015460729746444033,0.07692307692307693,2,0.00030921459492888067,0.15384615384615385,1,0.00015460729746444033,0.07692307692307693,0,0.0,0.0,2,0.00030921459492888067,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-18,6487,9,13,0.0013873901649452752,0.6923076923076923,2,0.0003083089255433945,0.15384615384615385,1,0.00015415446277169725,0.07692307692307693,1,0.00015415446277169725,0.07692307692307693,3,0.0004624633883150917,0.23076923076923078,0,0.0,0.0,1,0.00015415446277169725,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00015415446277169725,0.07692307692307693,0,0.0,0.0
2017-11-19,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
