date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,7451,4,13,0.0005368406925244934,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.0002684203462622467,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0002684203462622467,0.15384615384615385,0,0.0,0.0
2017-10-27,7157,4,13,0.0005588933910856504,0.3076923076923077,1,0.0001397233477714126,0.07692307692307693,0,0.0,0.0,2,0.0002794466955428252,0.15384615384615385,1,0.0001397233477714126,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,6751,3,13,0.00044437861057621095,0.23076923076923078,1,0.00014812620352540364,0.07692307692307693,0,0.0,0.0,1,0.00014812620352540364,0.07692307692307693,1,0.00014812620352540364,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,7295,1,13,0.00013708019191226866,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.00013708019191226866,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,7894,1,13,0.0001266784899923993,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0001266784899923993,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,7074,4,13,0.0005654509471303364,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,3,0.00042408821034775233,0.23076923076923078,1,0.0001413627367825841,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,6998,9,13,0.0012860817376393256,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,2,0.0002857959416976279,0.15384615384615385,2,0.0002857959416976279,0.15384615384615385,0,0.0,0.0,1,0.00014289797084881395,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.0005715918833952558,0.3076923076923077,0,0.0,0.0
2017-11-02,7116,5,13,0.0007026419336706015,0.38461538461538464,1,0.0001405283867341203,0.07692307692307693,1,0.0001405283867341203,0.07692307692307693,1,0.0001405283867341203,0.07692307692307693,2,0.0002810567734682406,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,6905,6,13,0.0008689355539464157,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,2,0.0002896451846488052,0.15384615384615385,4,0.0005792903692976104,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,7013,2,13,0.00028518465706544986,0.15384615384615385,1,0.00014259232853272493,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.00014259232853272493,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-05,7623,4,13,0.0005247277974550702,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,1,0.00013118194936376755,0.07692307692307693,2,0.0002623638987275351,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00013118194936376755,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
