date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,14296,8,13,0.0005595970900951316,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,3,0.00020984890878567432,0.23076923076923078,2,0.0001398992725237829,0.15384615384615385,0,0.0,0.0,2,0.0001398992725237829,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.994963626189144e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,13963,16,13,0.0011458855546802264,1.2307692307692308,0,0.0,0.0,1,7.161784716751415e-05,0.07692307692307693,6,0.0004297070830050849,0.46153846153846156,4,0.0002864713886700566,0.3076923076923077,0,0.0,0.0,4,0.0002864713886700566,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.161784716751415e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,13577,11,13,0.0008101937099506518,0.8461538461538461,1,7.365397363187744e-05,0.07692307692307693,1,7.365397363187744e-05,0.07692307692307693,2,0.00014730794726375488,0.15384615384615385,4,0.00029461589452750976,0.3076923076923077,0,0.0,0.0,3,0.0002209619208956323,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,16510,25,13,0.0015142337976983646,1.9230769230769231,4,0.00024227740763173834,0.3076923076923077,0,0.0,0.0,5,0.0003028467595396729,0.38461538461538464,11,0.0006662628709872804,0.8461538461538461,0,0.0,0.0,3,0.00018170805572380376,0.23076923076923078,0,0.0,0.0,1,6.0569351907934585e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.0569351907934585e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,14345,3,13,0.00020913210177762287,0.23076923076923078,1,6.971070059254095e-05,0.07692307692307693,0,0.0,0.0,1,6.971070059254095e-05,0.07692307692307693,1,6.971070059254095e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,14471,7,13,0.00048372607283532585,0.5384615384615384,0,0.0,0.0,1,6.910372469076083e-05,0.07692307692307693,3,0.0002073111740722825,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,3,0.0002073111740722825,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,14039,4,13,0.00028492057838877413,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,4,0.00028492057838877413,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-02,14603,8,13,0.000547832637129357,0.6153846153846154,0,0.0,0.0,1,6.847907964116963e-05,0.07692307692307693,5,0.00034239539820584813,0.38461538461538464,1,6.847907964116963e-05,0.07692307692307693,0,0.0,0.0,1,6.847907964116963e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,14144,19,13,0.0013433257918552036,1.4615384615384615,3,0.00021210407239819005,0.23076923076923078,4,0.0002828054298642534,0.3076923076923077,6,0.0004242081447963801,0.46153846153846156,5,0.00035350678733031673,0.38461538461538464,0,0.0,0.0,1,7.070135746606335e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,13883,8,13,0.0005762443275949003,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,1,7.203054094936253e-05,0.07692307692307693,4,0.00028812216379745014,0.3076923076923077,0,0.0,0.0,3,0.0002160916228480876,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
