date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,9109,13,13,0.0014271599516961248,1.0,4,0.000439126138983423,0.3076923076923077,2,0.0002195630694917115,0.15384615384615385,2,0.0002195630694917115,0.15384615384615385,4,0.000439126138983423,0.3076923076923077,0,0.0,0.0,1,0.00010978153474585575,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,9650,3,13,0.000310880829015544,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,0.00010362694300518135,0.07692307692307693,1,0.00010362694300518135,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010362694300518135,0.07692307692307693,0,0.0,0.0
2017-10-28,9346,8,13,0.0008559811684142949,0.6153846153846154,1,0.00010699764605178686,0.07692307692307693,0,0.0,0.0,3,0.00032099293815536056,0.23076923076923078,2,0.00021399529210357372,0.15384615384615385,0,0.0,0.0,2,0.00021399529210357372,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,10203,4,13,0.00039204155640497893,0.3076923076923077,1,9.801038910124473e-05,0.07692307692307693,0,0.0,0.0,1,9.801038910124473e-05,0.07692307692307693,1,9.801038910124473e-05,0.07692307692307693,0,0.0,0.0,1,9.801038910124473e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,9466,2,13,0.00021128248468201986,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00010564124234100993,0.07692307692307693,1,0.00010564124234100993,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,10081,13,13,0.0012895546076778098,1.0,1,9.919650828290844e-05,0.07692307692307693,1,9.919650828290844e-05,0.07692307692307693,3,0.0002975895248487253,0.23076923076923078,7,0.0006943755579803591,0.5384615384615384,0,0.0,0.0,1,9.919650828290844e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,10573,6,13,0.0005674832119549796,0.46153846153846156,1,9.458053532582995e-05,0.07692307692307693,0,0.0,0.0,2,0.0001891610706516599,0.15384615384615385,2,0.0001891610706516599,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.458053532582995e-05,0.07692307692307693,0,0.0,0.0
2017-11-02,9652,3,13,0.0003108164111065064,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010360547036883547,0.07692307692307693,0,0.0,0.0,2,0.00020721094073767094,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,9614,14,13,0.0014562096941959641,1.0769230769230769,2,0.00020802995631370917,0.15384615384615385,1,0.00010401497815685458,0.07692307692307693,4,0.00041605991262741833,0.3076923076923077,4,0.00041605991262741833,0.3076923076923077,0,0.0,0.0,2,0.00020802995631370917,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00010401497815685458,0.07692307692307693,0,0.0,0.0
2017-11-04,9337,3,13,0.0003213023455071222,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,0.0001071007818357074,0.07692307692307693,1,0.0001071007818357074,0.07692307692307693,0,0.0,0.0,1,0.0001071007818357074,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
