date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,39813,16,13,0.0004018787833119835,1.2307692307692308,3,7.535227187099691e-05,0.23076923076923078,1,2.511742395699897e-05,0.07692307692307693,3,7.535227187099691e-05,0.23076923076923078,5,0.00012558711978499486,0.38461538461538464,0,0.0,0.0,4,0.00010046969582799588,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,39609,38,13,0.0009593779191597869,2.923076923076923,5,0.0001262339367315509,0.38461538461538464,1,2.524678734631018e-05,0.07692307692307693,10,0.0002524678734631018,0.7692307692307693,12,0.0003029614481557222,0.9230769230769231,0,0.0,0.0,8,0.00020197429877048145,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,5.049357469262036e-05,0.15384615384615385,0,0.0,0.0
2017-10-28,37428,41,13,0.0010954365715507106,3.1538461538461537,3,8.01538954793203e-05,0.23076923076923078,5,0.00013358982579886715,0.38461538461538464,12,0.0003206155819172812,0.9230769230769231,15,0.00040076947739660146,1.1538461538461537,0,0.0,0.0,6,0.0001603077909586406,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,42282,37,13,0.0008750768648597512,2.8461538461538463,5,0.00011825363038645286,0.38461538461538464,0,0.0,0.0,9,0.00021285653469561516,0.6923076923076923,15,0.00035476089115935857,1.1538461538461537,0,0.0,0.0,4,9.460290430916229e-05,0.3076923076923077,0,0.0,0.0,1,2.3650726077290572e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,7.095217823187172e-05,0.23076923076923078,0,0.0,0.0
2017-10-30,41019,39,13,0.0009507789073356249,3.0,7,0.00017065262439357372,0.5384615384615384,1,2.43789463419391e-05,0.07692307692307693,5,0.0001218947317096955,0.38461538461538464,16,0.0003900631414710256,1.2307692307692308,1,2.43789463419391e-05,0.07692307692307693,8,0.0001950315707355128,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2.43789463419391e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,45129,18,13,0.00039885661104832815,1.3846153846153846,2,4.431740122759201e-05,0.15384615384615385,0,0.0,0.0,9,0.00019942830552416408,0.6923076923076923,5,0.00011079350306898004,0.38461538461538464,0,0.0,0.0,2,4.431740122759201e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,41014,40,13,0.000975276734773492,3.076923076923077,4,9.75276734773492e-05,0.3076923076923077,2,4.87638367386746e-05,0.15384615384615385,11,0.0002682011020627103,0.8461538461538461,15,0.0003657287755400595,1.1538461538461537,0,0.0,0.0,6,0.0001462915102160238,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,4.87638367386746e-05,0.15384615384615385,0,0.0,0.0
2017-11-02,43620,55,13,0.0012608895002292526,4.230769230769231,6,0.0001375515818431912,0.46153846153846156,6,0.0001375515818431912,0.46153846153846156,7,0.00016047684548372307,0.5384615384615384,24,0.0005502063273727648,1.8461538461538463,0,0.0,0.0,4,9.170105456212746e-05,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,0.00018340210912425492,0.6153846153846154,0,0.0,0.0
2017-11-03,38127,72,13,0.0018884255252183493,5.538461538461538,16,0.0004196501167151887,1.2307692307692308,8,0.00020982505835759436,0.6153846153846154,14,0.0003671938521257901,1.0769230769230769,31,0.0008130721011356781,2.3846153846153846,0,0.0,0.0,2,5.245626458939859e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2.6228132294699294e-05,0.07692307692307693,0,0.0,0.0
2017-11-04,38388,27,13,0.0007033447952485152,2.076923076923077,3,7.814942169427946e-05,0.23076923076923078,0,0.0,0.0,4,0.00010419922892570594,0.3076923076923077,12,0.00031259768677711783,0.9230769230769231,0,0.0,0.0,6,0.00015629884338855892,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2.6049807231426486e-05,0.07692307692307693,0,0.0,0.0,1,2.6049807231426486e-05,0.07692307692307693,0,0.0,0.0
