date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,23154,9,13,0.00038870173620108835,0.6923076923076923,1,4.3189081800120926e-05,0.07692307692307693,0,0.0,0.0,3,0.0001295672454003628,0.23076923076923078,3,0.0001295672454003628,0.23076923076923078,0,0.0,0.0,1,4.3189081800120926e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.3189081800120926e-05,0.07692307692307693,0,0.0,0.0
2017-10-27,22339,13,13,0.0005819418953399883,1.0,2,8.952952235999821e-05,0.15384615384615385,0,0.0,0.0,6,0.0002685885670799946,0.46153846153846156,2,8.952952235999821e-05,0.15384615384615385,0,0.0,0.0,1,4.4764761179999104e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,8.952952235999821e-05,0.15384615384615385,0,0.0,0.0
2017-10-28,28905,18,13,0.0006227296315516347,1.3846153846153846,2,6.919218128351496e-05,0.15384615384615385,0,0.0,0.0,7,0.00024217263449230237,0.5384615384615384,4,0.00013838436256702992,0.3076923076923077,0,0.0,0.0,4,0.00013838436256702992,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.459609064175748e-05,0.07692307692307693,0,0.0,0.0
2017-10-29,24464,7,13,0.00028613472858077173,0.5384615384615384,1,4.087638979725311e-05,0.07692307692307693,0,0.0,0.0,4,0.00016350555918901244,0.3076923076923077,1,4.087638979725311e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.087638979725311e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,23820,10,13,0.00041981528127623844,0.7692307692307693,0,0.0,0.0,0,0.0,0.0,2,8.396305625524769e-05,0.15384615384615385,2,8.396305625524769e-05,0.15384615384615385,0,0.0,0.0,5,0.00020990764063811922,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.1981528127623844e-05,0.07692307692307693,0,0.0,0.0
2017-10-31,24985,15,13,0.0006003602161296778,1.1538461538461537,2,8.004802881729037e-05,0.15384615384615385,0,0.0,0.0,3,0.00012007204322593557,0.23076923076923078,2,8.004802881729037e-05,0.15384615384615385,0,0.0,0.0,4,0.00016009605763458074,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.00016009605763458074,0.3076923076923077,0,0.0,0.0
2017-11-01,24464,5,13,0.00020438194898626553,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,1,4.087638979725311e-05,0.07692307692307693,3,0.00012262916939175932,0.23076923076923078,0,0.0,0.0,1,4.087638979725311e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-02,24270,8,13,0.0003296250515039143,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,1,4.120313143798929e-05,0.07692307692307693,2,8.240626287597858e-05,0.15384615384615385,0,0.0,0.0,2,8.240626287597858e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.00012360939431396787,0.23076923076923078,0,0.0,0.0
2017-11-03,23264,8,13,0.000343878954607978,0.6153846153846154,3,0.00012895460797799173,0.23076923076923078,0,0.0,0.0,1,4.298486932599725e-05,0.07692307692307693,3,0.00012895460797799173,0.23076923076923078,0,0.0,0.0,1,4.298486932599725e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,25292,8,13,0.0003163055511624229,0.6153846153846154,0,0.0,0.0,1,3.953819389530286e-05,0.07692307692307693,2,7.907638779060572e-05,0.15384615384615385,1,3.953819389530286e-05,0.07692307692307693,0,0.0,0.0,3,0.00011861458168590859,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.953819389530286e-05,0.07692307692307693,0,0.0,0.0
2017-11-05,23475,12,13,0.0005111821086261981,0.9230769230769231,1,4.259850905218317e-05,0.07692307692307693,1,4.259850905218317e-05,0.07692307692307693,3,0.00012779552715654952,0.23076923076923078,3,0.00012779552715654952,0.23076923076923078,0,0.0,0.0,2,8.519701810436634e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,8.519701810436634e-05,0.15384615384615385,0,0.0,0.0
2017-11-06,23323,5,13,0.00021438065428975689,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,8.575226171590276e-05,0.15384615384615385,0,0.0,0.0,3,0.00012862839257385414,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-07,25455,8,13,0.0003142801021410332,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,2,7.85700255352583e-05,0.15384615384615385,3,0.00011785503830288745,0.23076923076923078,0,0.0,0.0,2,7.85700255352583e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.928501276762915e-05,0.07692307692307693,0,0.0,0.0
2017-11-08,22671,12,13,0.0005293105729786953,0.9230769230769231,0,0.0,0.0,1,4.410921441489127e-05,0.07692307692307693,5,0.00022054607207445636,0.38461538461538464,3,0.00013232764324467382,0.23076923076923078,0,0.0,0.0,2,8.821842882978254e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.410921441489127e-05,0.07692307692307693,0,0.0,0.0
2017-11-09,22372,16,13,0.0007151796888968353,1.2307692307692308,2,8.939746111210442e-05,0.15384615384615385,2,8.939746111210442e-05,0.15384615384615385,3,0.00013409619166815663,0.23076923076923078,3,0.00013409619166815663,0.23076923076923078,0,0.0,0.0,4,0.00017879492222420883,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,8.939746111210442e-05,0.15384615384615385,0,0.0,0.0
2017-11-10,23028,5,13,0.0002171269758554803,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,4,0.00017370158068438424,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.342539517109606e-05,0.07692307692307693,0,0.0,0.0
