date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,8572,9,13,0.0010499300046663555,0.6923076923076923,1,0.00011665888940737284,0.07692307692307693,0,0.0,0.0,1,0.00011665888940737284,0.07692307692307693,4,0.0004666355576294914,0.3076923076923077,0,0.0,0.0,2,0.0002333177788147457,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00011665888940737284,0.07692307692307693
2017-10-27,7967,9,13,0.0011296598468683318,0.6923076923076923,2,0.000251035521526296,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,5,0.0006275888038157399,0.38461538461538464,0,0.0,0.0,1,0.000125517760763148,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.000125517760763148,0.07692307692307693,0,0.0,0.0
2017-10-28,7986,6,13,0.0007513148009015778,0.46153846153846156,0,0.0,0.0,1,0.00012521913348359628,0.07692307692307693,2,0.00025043826696719256,0.15384615384615385,2,0.00025043826696719256,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00012521913348359628,0.07692307692307693,0,0.0,0.0
2017-10-29,8052,2,13,0.00024838549428713363,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00012419274714356682,0.07692307692307693,1,0.00012419274714356682,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,8085,5,13,0.0006184291898577613,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,2,0.0002473716759431045,0.15384615384615385,2,0.0002473716759431045,0.15384615384615385,0,0.0,0.0,1,0.00012368583797155226,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,8009,18,13,0.002247471594456237,1.3846153846153846,3,0.00037457859907603946,0.23076923076923078,1,0.0001248595330253465,0.07692307692307693,2,0.000249719066050693,0.15384615384615385,9,0.0011237357972281184,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.00037457859907603946,0.23076923076923078,0,0.0,0.0
2017-11-01,8306,7,13,0.0008427642667950878,0.5384615384615384,1,0.00012039489525644112,0.07692307692307693,0,0.0,0.0,1,0.00012039489525644112,0.07692307692307693,3,0.0003611846857693234,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00024078979051288225,0.15384615384615385,0,0.0,0.0
2017-11-02,8481,12,13,0.0014149274849663955,0.9230769230769231,1,0.00011791062374719962,0.07692307692307693,1,0.00011791062374719962,0.07692307692307693,3,0.00035373187124159886,0.23076923076923078,3,0.00035373187124159886,0.23076923076923078,0,0.0,0.0,1,0.00011791062374719962,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00011791062374719962,0.07692307692307693,0,0.0,0.0,2,0.00023582124749439923,0.15384615384615385,0,0.0,0.0
2017-11-03,7777,7,13,0.0009000900090009,0.5384615384615384,1,0.00012858428700012858,0.07692307692307693,1,0.00012858428700012858,0.07692307692307693,1,0.00012858428700012858,0.07692307692307693,3,0.00038575286100038574,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00012858428700012858,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,7651,7,13,0.0009149130832570906,0.5384615384615384,1,0.00013070186903672723,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,3,0.0003921056071101817,0.23076923076923078,0,0.0,0.0,3,0.0003921056071101817,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
