date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,16717,11,13,0.0006580128013399533,0.8461538461538461,2,0.00011963869115271879,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,6,0.00035891607345815636,0.46153846153846156,0,0.0,0.0,1,5.9819345576359396e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00011963869115271879,0.15384615384615385,0,0.0,0.0
2017-10-27,16419,9,13,0.0005481454412570802,0.6923076923076923,3,0.0001827151470856934,0.23076923076923078,0,0.0,0.0,2,0.00012181009805712893,0.15384615384615385,3,0.0001827151470856934,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.0905049028564466e-05,0.07692307692307693,0,0.0,0.0
2017-10-28,18185,4,13,0.00021996150673632113,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,1,5.4990376684080284e-05,0.07692307692307693,2,0.00010998075336816057,0.15384615384615385,0,0.0,0.0,1,5.4990376684080284e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,18978,20,13,0.0010538518284329223,1.5384615384615385,3,0.00015807777426493836,0.23076923076923078,3,0.00015807777426493836,0.23076923076923078,6,0.0003161555485298767,0.46153846153846156,5,0.00026346295710823057,0.38461538461538464,0,0.0,0.0,1,5.2692591421646116e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00010538518284329223,0.15384615384615385,0,0.0,0.0
2017-10-30,17280,7,13,0.0004050925925925926,0.5384615384615384,1,5.787037037037037e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,3,0.00017361111111111112,0.23076923076923078,0,0.0,0.0,2,0.00011574074074074075,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,5.787037037037037e-05,0.07692307692307693,0,0.0,0.0
2017-10-31,15951,12,13,0.0007523039307880384,0.9230769230769231,0,0.0,0.0,1,6.269199423233653e-05,0.07692307692307693,5,0.00031345997116168263,0.38461538461538464,2,0.00012538398846467306,0.15384615384615385,0,0.0,0.0,2,0.00012538398846467306,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00012538398846467306,0.15384615384615385,0,0.0,0.0
2017-11-01,16976,8,13,0.000471253534401508,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,4,0.000235626767200754,0.3076923076923077,1,5.89066918001885e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.0001767200754005655,0.23076923076923078,0,0.0,0.0
2017-11-02,17286,17,13,0.0009834548189286128,1.3076923076923077,3,0.00017355085039916696,0.23076923076923078,0,0.0,0.0,6,0.0003471017007983339,0.46153846153846156,6,0.0003471017007983339,0.46153846153846156,0,0.0,0.0,1,5.785028346638898e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,5.785028346638898e-05,0.07692307692307693,0,0.0,0.0
2017-11-03,16431,15,13,0.0009129085265656381,1.1538461538461537,1,6.0860568437709206e-05,0.07692307692307693,1,6.0860568437709206e-05,0.07692307692307693,6,0.0003651634106262553,0.46153846153846156,5,0.00030430284218854606,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00012172113687541841,0.15384615384615385,0,0.0,0.0
2017-11-04,16168,9,13,0.0005566551212271152,0.6923076923076923,1,6.185056902523504e-05,0.07692307692307693,1,6.185056902523504e-05,0.07692307692307693,2,0.00012370113805047008,0.15384615384615385,2,0.00012370113805047008,0.15384615384615385,0,0.0,0.0,2,0.00012370113805047008,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.185056902523504e-05,0.07692307692307693,0,0.0,0.0
