date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,12199,2,13,0.00016394786457906387,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,8.197393228953193e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,8.197393228953193e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,11882,12,13,0.00100993098804915,0.9230769230769231,1,8.41609156707625e-05,0.07692307692307693,1,8.41609156707625e-05,0.07692307692307693,2,0.000168321831341525,0.15384615384615385,5,0.0004208045783538125,0.38461538461538464,0,0.0,0.0,3,0.0002524827470122875,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,14955,19,13,0.0012704781009695754,1.4615384615384615,2,0.00013373453694416582,0.15384615384615385,1,6.686726847208291e-05,0.07692307692307693,1,6.686726847208291e-05,0.07692307692307693,3,0.00020060180541624874,0.23076923076923078,0,0.0,0.0,2,0.00013373453694416582,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,0.0006686726847208291,0.7692307692307693,0,0.0,0.0
2017-10-29,12591,3,13,0.0002382654276864427,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,2,0.00015884361845762846,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.942180922881423e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,11938,3,13,0.0002512983749371754,0.23076923076923078,1,8.376612497905847e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00016753224995811694,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,12073,3,13,0.00024848836246169135,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,3,0.00024848836246169135,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,11786,4,13,0.00033938571186153065,0.3076923076923077,0,0.0,0.0,1,8.484642796538266e-05,0.07692307692307693,3,0.000254539283896148,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-02,11930,2,13,0.00016764459346186087,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,8.382229673093043e-05,0.07692307692307693,1,8.382229673093043e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,11911,12,13,0.001007472084627655,0.9230769230769231,2,0.00016791201410460918,0.15384615384615385,1,8.395600705230459e-05,0.07692307692307693,2,0.00016791201410460918,0.15384615384615385,5,0.00041978003526152295,0.38461538461538464,0,0.0,0.0,2,0.00016791201410460918,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,11914,6,13,0.0005036091992613732,0.46153846153846156,0,0.0,0.0,1,8.393486654356219e-05,0.07692307692307693,2,0.00016786973308712439,0.15384615384615385,1,8.393486654356219e-05,0.07692307692307693,0,0.0,0.0,2,0.00016786973308712439,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
