date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,13017,10,13,0.0007682261657832066,0.7692307692307693,3,0.00023046784973496196,0.23076923076923078,0,0.0,0.0,2,0.00015364523315664132,0.15384615384615385,4,0.00030729046631328263,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.682261657832066e-05,0.07692307692307693,0,0.0,0.0
2017-10-27,12733,16,13,0.0012565773973140658,1.2307692307692308,2,0.00015707217466425823,0.15384615384615385,1,7.853608733212911e-05,0.07692307692307693,5,0.0003926804366606456,0.38461538461538464,5,0.0003926804366606456,0.38461538461538464,0,0.0,0.0,3,0.00023560826199638734,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,12406,16,13,0.0012896985329679186,1.2307692307692308,3,0.00024181847493148477,0.23076923076923078,2,0.00016121231662098983,0.15384615384615385,4,0.00032242463324197966,0.3076923076923077,4,0.00032242463324197966,0.3076923076923077,0,0.0,0.0,3,0.00024181847493148477,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,15298,9,13,0.0005883121976728985,0.6923076923076923,1,6.536802196365538e-05,0.07692307692307693,0,0.0,0.0,3,0.00019610406589096614,0.23076923076923078,2,0.00013073604392731077,0.15384615384615385,0,0.0,0.0,2,0.00013073604392731077,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.536802196365538e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,13483,13,13,0.0009641771119187125,1.0,2,0.00014833494029518654,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,3,0.0002225024104427798,0.23076923076923078,0,0.0,0.0,6,0.0004450048208855596,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014833494029518654,0.15384615384615385,0,0.0,0.0
2017-10-31,12912,4,13,0.0003097893432465923,0.3076923076923077,1,7.744733581164808e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00015489467162329616,0.15384615384615385,0,0.0,0.0,1,7.744733581164808e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,13529,8,13,0.0005913223445930963,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,1,7.391529307413703e-05,0.07692307692307693,4,0.00029566117229654814,0.3076923076923077,0,0.0,0.0,1,7.391529307413703e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.391529307413703e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,7.391529307413703e-05,0.07692307692307693
2017-11-02,13630,14,13,0.0010271460014673515,1.0769230769230769,2,0.0001467351430667645,0.15384615384615385,1,7.336757153338224e-05,0.07692307692307693,4,0.000293470286133529,0.3076923076923077,4,0.000293470286133529,0.3076923076923077,0,0.0,0.0,1,7.336757153338224e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0001467351430667645,0.15384615384615385,0,0.0,0.0
2017-11-03,12805,23,13,0.0017961733697774308,1.7692307692307692,4,0.00031237797735259666,0.3076923076923077,1,7.809449433814917e-05,0.07692307692307693,5,0.0003904724716907458,0.38461538461538464,10,0.0007809449433814916,0.7692307692307693,0,0.0,0.0,1,7.809449433814917e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.809449433814917e-05,0.07692307692307693,1,7.809449433814917e-05,0.07692307692307693,0,0.0,0.0
2017-11-04,13721,7,13,0.0005101668974564536,0.5384615384615384,0,0.0,0.0,1,7.288098535092194e-05,0.07692307692307693,1,7.288098535092194e-05,0.07692307692307693,1,7.288098535092194e-05,0.07692307692307693,0,0.0,0.0,2,0.00014576197070184389,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014576197070184389,0.15384615384615385,0,0.0,0.0
2017-11-05,13934,5,13,0.0003588345055260514,0.38461538461538464,1,7.176690110521028e-05,0.07692307692307693,0,0.0,0.0,1,7.176690110521028e-05,0.07692307692307693,2,0.00014353380221042057,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.176690110521028e-05,0.07692307692307693,0,0.0,0.0
2017-11-06,13504,5,13,0.000370260663507109,0.38461538461538464,0,0.0,0.0,1,7.40521327014218e-05,0.07692307692307693,1,7.40521327014218e-05,0.07692307692307693,2,0.0001481042654028436,0.15384615384615385,0,0.0,0.0,1,7.40521327014218e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-07,16353,13,13,0.0007949611692044273,1.0,1,6.115085916957133e-05,0.07692307692307693,0,0.0,0.0,1,6.115085916957133e-05,0.07692307692307693,9,0.000550357732526142,0.6923076923076923,0,0.0,0.0,1,6.115085916957133e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.115085916957133e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-08,13355,7,13,0.0005241482590789966,0.5384615384615384,1,7.487832272557094e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00014975664545114188,0.15384615384615385,0,0.0,0.0,3,0.00022463496817671285,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.487832272557094e-05,0.07692307692307693,0,0.0,0.0
2017-11-09,13714,3,13,0.00021875455738661222,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.291818579553741e-05,0.07692307692307693,0,0.0,0.0,1,7.291818579553741e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.291818579553741e-05,0.07692307692307693,0,0.0,0.0
2017-11-10,12861,8,13,0.0006220356115387606,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,7,0.0005442811600964155,0.5384615384615384,1,7.775445144234507e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-11,13504,5,13,0.000370260663507109,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,2,0.0001481042654028436,0.15384615384615385,1,7.40521327014218e-05,0.07692307692307693,0,0.0,0.0,2,0.0001481042654028436,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-12,13726,4,13,0.0002914177473408131,0.3076923076923077,1,7.285443683520327e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00014570887367040654,0.15384615384615385,0,0.0,0.0,1,7.285443683520327e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-13,13462,18,13,0.0013370970138166691,1.3846153846153846,2,0.0001485663348685188,0.15384615384615385,0,0.0,0.0,4,0.0002971326697370376,0.3076923076923077,4,0.0002971326697370376,0.3076923076923077,2,0.0001485663348685188,0.15384615384615385,5,0.00037141583717129696,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.42831674342594e-05,0.07692307692307693,0,0.0,0.0
2017-11-14,13476,19,13,0.0014099139210448203,1.4615384615384615,4,0.00029682398337785694,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,14,0.0010388839418224993,1.0769230769230769,0,0.0,0.0,1,7.420599584446424e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-15,13641,12,13,0.0008797009016934242,0.9230769230769231,0,0.0,0.0,0,0.0,0.0,1,7.330840847445201e-05,0.07692307692307693,6,0.0004398504508467121,0.46153846153846156,0,0.0,0.0,3,0.00021992522542335605,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014661681694890403,0.15384615384615385,0,0.0,0.0
2017-11-16,12666,8,13,0.0006316121901152693,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,1,7.895152376440866e-05,0.07692307692307693,5,0.0003947576188220433,0.38461538461538464,0,0.0,0.0,2,0.00015790304752881732,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-17,12118,28,13,0.0023106123122627496,2.1538461538461537,1,8.252186829509821e-05,0.07692307692307693,0,0.0,0.0,3,0.0002475656048852946,0.23076923076923078,22,0.0018154811024921605,1.6923076923076923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00016504373659019642,0.15384615384615385,0,0.0,0.0
