date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,13136,17,13,0.0012941534713763704,1.3076923076923077,1,7.61266747868453e-05,0.07692307692307693,1,7.61266747868453e-05,0.07692307692307693,2,0.0001522533495736906,0.15384615384615385,6,0.00045676004872107184,0.46153846153846156,0,0.0,0.0,5,0.00038063337393422653,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.61266747868453e-05,0.07692307692307693,0,0.0,0.0,1,7.61266747868453e-05,0.07692307692307693,0,0.0,0.0
2017-10-27,13082,17,13,0.0012994954899862407,1.3076923076923077,0,0.0,0.0,1,7.644091117566121e-05,0.07692307692307693,3,0.00022932273352698363,0.23076923076923078,2,0.00015288182235132243,0.15384615384615385,0,0.0,0.0,9,0.0006879682005809509,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.644091117566121e-05,0.07692307692307693,0,0.0,0.0,1,7.644091117566121e-05,0.07692307692307693,0,0.0,0.0
2017-10-28,13143,21,13,0.0015978087194704405,1.6153846153846154,1,7.608612949859241e-05,0.07692307692307693,0,0.0,0.0,6,0.00045651677699155445,0.46153846153846156,3,0.00022825838849577722,0.23076923076923078,0,0.0,0.0,9,0.0006847751654873316,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.608612949859241e-05,0.07692307692307693,1,7.608612949859241e-05,0.07692307692307693
2017-10-29,16002,15,13,0.0009373828271466067,1.1538461538461537,1,6.249218847644044e-05,0.07692307692307693,0,0.0,0.0,2,0.00012498437695288088,0.15384615384615385,4,0.00024996875390576176,0.3076923076923077,0,0.0,0.0,8,0.0004999375078115235,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,13093,1,13,7.637668983426258e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.637668983426258e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,13683,11,13,0.0008039172696046188,0.8461538461538461,1,7.308338814587444e-05,0.07692307692307693,1,7.308338814587444e-05,0.07692307692307693,6,0.0004385003288752467,0.46153846153846156,3,0.00021925016443762334,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,13268,7,13,0.0005275851673198674,0.5384615384615384,2,0.00015073861923424781,0.15384615384615385,0,0.0,0.0,1,7.536930961712391e-05,0.07692307692307693,3,0.0002261079288513717,0.23076923076923078,0,0.0,0.0,1,7.536930961712391e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-02,14711,19,13,0.0012915505404119366,1.4615384615384615,2,0.00013595268846441439,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,14,0.0009516688192509006,1.0769230769230769,0,0.0,0.0,3,0.00020392903269662158,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,14454,32,13,0.0022139200221392,2.4615384615384617,5,0.00034592500345925005,0.38461538461538464,5,0.00034592500345925005,0.38461538461538464,10,0.0006918500069185001,0.7692307692307693,11,0.00076103500761035,0.8461538461538461,0,0.0,0.0,1,6.918500069185e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,13886,14,13,0.0010082097076191847,1.0769230769230769,0,0.0,0.0,0,0.0,0.0,3,0.00021604493734696817,0.23076923076923078,5,0.00036007489557828026,0.38461538461538464,0,0.0,0.0,5,0.00036007489557828026,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.201497911565606e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0
