date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,5466,5,13,0.0009147457006952067,0.38461538461538464,0,0.0,0.0,1,0.00018294914013904133,0.07692307692307693,1,0.00018294914013904133,0.07692307692307693,1,0.00018294914013904133,0.07692307692307693,0,0.0,0.0,1,0.00018294914013904133,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00018294914013904133,0.07692307692307693,0,0.0,0.0
2017-10-27,4790,4,13,0.0008350730688935282,0.3076923076923077,1,0.00020876826722338206,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.00020876826722338206,0.07692307692307693,0,0.0,0.0,2,0.0004175365344467641,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,4845,2,13,0.000412796697626419,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.000412796697626419,0.15384615384615385,0,0.0,0.0
2017-10-29,5519,2,13,0.0003623844899438304,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,2,0.0003623844899438304,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,5101,5,13,0.0009801999607920015,0.38461538461538464,1,0.00019603999215840032,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.00019603999215840032,0.07692307692307693,0,0.0,0.0,3,0.000588119976475201,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,5661,2,13,0.0003532944709415298,0.15384615384615385,1,0.0001766472354707649,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.0001766472354707649,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,5348,2,13,0.00037397157816005983,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00018698578908002991,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00018698578908002991,0.07692307692307693,0,0.0,0.0
2017-11-02,5048,2,13,0.0003961965134706815,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.00019809825673534074,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.00019809825673534074,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,4856,9,13,0.0018533772652388797,0.6923076923076923,2,0.00041186161449752884,0.15384615384615385,1,0.00020593080724876442,0.07692307692307693,1,0.00020593080724876442,0.07692307692307693,4,0.0008237232289950577,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00020593080724876442,0.07692307692307693,0,0.0,0.0,0,0.0,0.0
2017-11-04,5336,6,13,0.0011244377811094452,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.0007496251874062968,0.3076923076923077,0,0.0,0.0,1,0.0001874062968515742,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0001874062968515742,0.07692307692307693,0,0.0,0.0
