date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,106031,123,13,0.0011600381020644905,9.461538461538462,19,0.00017919287755467742,1.4615384615384615,9,8.488083673642615e-05,0.6923076923076923,21,0.00019805528571832765,1.6153846153846154,53,0.0004998538163367317,4.076923076923077,0,0.0,0.0,14,0.00013203685714555178,1.0769230769230769,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.431204081825127e-06,0.07692307692307693,6,5.658722449095076e-05,0.46153846153846156,0,0.0,0.0
2017-10-27,106662,79,13,0.0007406574037614145,6.076923076923077,10,9.37541017419512e-05,0.7692307692307693,7,6.562787121936584e-05,0.5384615384615384,21,0.00019688361365809755,1.6153846153846154,32,0.0003000131255742439,2.4615384615384617,0,0.0,0.0,6,5.6252461045170726e-05,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.375410174195122e-06,0.07692307692307693,0,0.0,0.0,1,9.375410174195122e-06,0.07692307692307693,1,9.375410174195122e-06,0.07692307692307693
2017-10-28,100237,81,13,0.0008080848389317318,6.230769230769231,10,9.976356036194219e-05,0.7692307692307693,3,2.9929068108582658e-05,0.23076923076923078,15,0.0001496453405429133,1.1538461538461537,35,0.0003491724612667977,2.6923076923076925,0,0.0,0.0,14,0.0001396689845067191,1.0769230769230769,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.97635603619422e-06,0.07692307692307693,0,0.0,0.0,3,2.9929068108582658e-05,0.23076923076923078,0,0.0,0.0
2017-10-29,128831,93,13,0.000721875946006784,7.153846153846154,10,7.762106946309506e-05,0.7692307692307693,5,3.881053473154753e-05,0.38461538461538464,25,0.00019405267365773764,1.9230769230769231,32,0.0002483874222819042,2.4615384615384617,0,0.0,0.0,15,0.0001164316041946426,1.1538461538461537,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,4.6572641677857036e-05,0.46153846153846156,0,0.0,0.0
2017-10-30,105303,50,13,0.0004748202805238217,3.8461538461538463,3,2.8489216831429305e-05,0.23076923076923078,2,1.899281122095287e-05,0.15384615384615385,15,0.00014244608415714651,1.1538461538461537,11,0.00010446046171524079,0.8461538461538461,0,0.0,0.0,15,0.00014244608415714651,1.1538461538461537,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.496405610476435e-06,0.07692307692307693,3,2.8489216831429305e-05,0.23076923076923078,0,0.0,0.0
2017-10-31,111399,84,13,0.0007540462661244715,6.461538461538462,5,4.488370631693283e-05,0.38461538461538464,5,4.488370631693283e-05,0.38461538461538464,28,0.0002513487553748238,2.1538461538461537,23,0.000206465049057891,1.7692307692307692,0,0.0,0.0,22,0.00019748830779450443,1.6923076923076923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.976741263386566e-06,0.07692307692307693,0,0.0,0.0
2017-11-01,123841,109,13,0.0008801608514143136,8.384615384615385,7,5.652409137523114e-05,0.5384615384615384,4,3.229948078584637e-05,0.3076923076923077,36,0.0002906953270726173,2.769230769230769,32,0.00025839584628677094,2.4615384615384617,0,0.0,0.0,10,8.074870196461592e-05,0.7692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.074870196461592e-06,0.07692307692307693,3,2.4224610589384775e-05,0.23076923076923078,15,0.00012112305294692388,1.1538461538461537,1,8.074870196461592e-06,0.07692307692307693
2017-11-02,109432,100,13,0.0009138094889977337,7.6923076923076925,8,7.31047591198187e-05,0.6153846153846154,3,2.741428466993201e-05,0.23076923076923078,18,0.0001644857080195921,1.3846153846153846,51,0.0004660428393888442,3.923076923076923,0,0.0,0.0,14,0.00012793332845968273,1.0769230769230769,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,3.655237955990935e-05,0.3076923076923077,0,0.0,0.0,2,1.8276189779954676e-05,0.15384615384615385,0,0.0,0.0
2017-11-03,104671,242,13,0.0023120061908264945,18.615384615384617,31,0.0002961660822959559,2.3846153846153846,8,7.6429956721537e-05,0.6153846153846154,30,0.0002866123377057638,2.3076923076923075,153,0.0014617229222993952,11.76923076923077,0,0.0,0.0,15,0.0001433061688528819,1.1538461538461537,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,1.910748918038425e-05,0.15384615384615385,0,0.0,0.0,3,2.866123377057638e-05,0.23076923076923078,0,0.0,0.0
2017-11-04,98459,96,13,0.0009750251373668227,7.384615384615385,6,6.093907108542642e-05,0.46153846153846156,3,3.046953554271321e-05,0.23076923076923078,18,0.00018281721325627928,1.3846153846153846,40,0.00040626047390284283,3.076923076923077,0,0.0,0.0,22,0.00022344326064656353,1.6923076923076923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,7.10955829329975e-05,0.5384615384615384,0,0.0,0.0
2017-11-05,106455,54,13,0.0005072565872904044,4.153846153846154,6,5.6361843032267155e-05,0.46153846153846156,3,2.8180921516133577e-05,0.23076923076923078,9,8.454276454840074e-05,0.6923076923076923,13,0.00012211732656991218,1.0,0,0.0,0.0,20,0.0001878728101075572,1.5384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,1.878728101075572e-05,0.15384615384615385,1,9.39364050537786e-06,0.07692307692307693
2017-11-06,106375,107,13,0.0010058754406580494,8.23076923076923,11,0.00010340775558166862,0.8461538461538461,16,0.00015041128084606345,1.2307692307692308,19,0.00017861339600470035,1.4615384615384615,42,0.00039482961222091656,3.230769230769231,0,0.0,0.0,17,0.00015981198589894242,1.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.400705052878966e-06,0.07692307692307693,1,9.400705052878966e-06,0.07692307692307693,0,0.0,0.0
2017-11-07,112002,108,13,0.0009642684952054427,8.307692307692308,9,8.03557079337869e-05,0.6923076923076923,4,3.5713647970571955e-05,0.3076923076923077,12,0.00010714094391171586,0.9230769230769231,61,0.0005446331315512223,4.6923076923076925,0,0.0,0.0,15,0.00013392617988964482,1.1538461538461537,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,2.6785235977928965e-05,0.23076923076923078,1,8.928411992642989e-06,0.07692307692307693,3,2.6785235977928965e-05,0.23076923076923078,0,0.0,0.0
2017-11-08,105853,97,13,0.0009163651478937772,7.461538461538462,11,0.0001039176971838304,0.8461538461538461,2,1.8894126760696438e-05,0.15384615384615385,12,0.00011336476056417862,0.9230769230769231,57,0.0005384826126798484,4.384615384615385,0,0.0,0.0,7,6.612944366243753e-05,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,1.8894126760696438e-05,0.15384615384615385,1,9.447063380348219e-06,0.07692307692307693,0,0.0,0.0,5,4.723531690174109e-05,0.38461538461538464,0,0.0,0.0
2017-11-09,104213,80,13,0.000767658545478971,6.153846153846154,9,8.636158636638424e-05,0.6923076923076923,9,8.636158636638424e-05,0.6923076923076923,16,0.0001535317090957942,1.2307692307692308,24,0.00023029756364369128,1.8461538461538463,0,0.0,0.0,16,0.0001535317090957942,1.2307692307692308,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,5.757439091092282e-05,0.46153846153846156,0,0.0,0.0
2017-11-10,99686,70,13,0.0007022049234596633,5.384615384615385,5,5.0157494532833095e-05,0.38461538461538464,4,4.0125995626266476e-05,0.3076923076923077,20,0.00020062997813133238,1.5384615384615385,33,0.00033103946391669845,2.5384615384615383,0,0.0,0.0,6,6.0188993439399714e-05,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,2.0062997813133238e-05,0.15384615384615385,0,0.0,0.0
2017-11-11,95833,65,13,0.0006782632287416652,5.0,7,7.304373232602548e-05,0.5384615384615384,6,6.260891342230755e-05,0.46153846153846156,20,0.00020869637807435852,1.5384615384615385,20,0.00020869637807435852,1.5384615384615385,0,0.0,0.0,11,0.00011478300794089718,0.8461538461538461,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0434818903717927e-05,0.07692307692307693,0,0.0,0.0
