date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,22361,25,13,0.001118017977729082,1.9230769230769231,3,0.00013416215732748983,0.23076923076923078,1,4.4720719109163274e-05,0.07692307692307693,5,0.00022360359554581636,0.38461538461538464,10,0.00044720719109163273,0.7692307692307693,0,0.0,0.0,4,0.0001788828764366531,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,8.944143821832655e-05,0.15384615384615385,0,0.0,0.0
2017-10-27,23734,23,13,0.0009690739024184714,1.7692307692307692,4,0.00016853459172495156,0.3076923076923077,1,4.213364793123789e-05,0.07692307692307693,6,0.0002528018875874273,0.46153846153846156,12,0.0005056037751748546,0.9230769230769231,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,23076,7,13,0.00030334546715201944,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,3,0.00013000520020800833,0.23076923076923078,2,8.667013347200555e-05,0.15384615384615385,0,0.0,0.0,2,8.667013347200555e-05,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,28384,15,13,0.000528466741826381,1.1538461538461537,1,3.5231116121758736e-05,0.07692307692307693,2,7.046223224351747e-05,0.15384615384615385,8,0.0002818489289740699,0.6153846153846154,2,7.046223224351747e-05,0.15384615384615385,0,0.0,0.0,1,3.5231116121758736e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.5231116121758736e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,22848,4,13,0.00017507002801120448,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,1,4.376750700280112e-05,0.07692307692307693,1,4.376750700280112e-05,0.07692307692307693,0,0.0,0.0,1,4.376750700280112e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.376750700280112e-05,0.07692307692307693,0,0.0,0.0
2017-10-31,24768,20,13,0.0008074935400516795,1.5384615384615385,1,4.037467700258398e-05,0.07692307692307693,1,4.037467700258398e-05,0.07692307692307693,11,0.0004441214470284238,0.8461538461538461,3,0.00012112403100775194,0.23076923076923078,0,0.0,0.0,4,0.00016149870801033592,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,27255,28,13,0.0010273344340487984,2.1538461538461537,1,3.66905155017428e-05,0.07692307692307693,1,3.66905155017428e-05,0.07692307692307693,14,0.0005136672170243992,1.0769230769230769,3,0.0001100715465052284,0.23076923076923078,0,0.0,0.0,1,3.66905155017428e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,7.33810310034856e-05,0.15384615384615385,5,0.000183452577508714,0.38461538461538464,1,3.66905155017428e-05,0.07692307692307693
2017-11-02,22885,24,13,0.0010487218702206686,1.8461538461538463,2,8.739348918505571e-05,0.15384615384615385,1,4.3696744592527856e-05,0.07692307692307693,6,0.00026218046755516715,0.46153846153846156,9,0.0003932707013327507,0.6923076923076923,0,0.0,0.0,3,0.00013109023377758358,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.00013109023377758358,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,21735,39,13,0.0017943409247757074,3.0,9,0.00041407867494824016,0.6923076923076923,1,4.6008741660915574e-05,0.07692307692307693,4,0.0001840349666436623,0.3076923076923077,22,0.0010121923165401427,1.6923076923076923,0,0.0,0.0,1,4.6008741660915574e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.6008741660915574e-05,0.07692307692307693,0,0.0,0.0,1,4.6008741660915574e-05,0.07692307692307693,0,0.0,0.0
2017-11-04,20192,13,13,0.0006438193343898574,1.0,1,4.9524564183835184e-05,0.07692307692307693,2,9.904912836767037e-05,0.15384615384615385,3,0.00014857369255150555,0.23076923076923078,3,0.00014857369255150555,0.23076923076923078,0,0.0,0.0,3,0.00014857369255150555,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,4.9524564183835184e-05,0.07692307692307693,0,0.0,0.0
