date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,3540,1,13,0.0002824858757062147,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0002824858757062147,0.07692307692307693,0,0.0,0.0
2017-10-27,3465,2,13,0.0005772005772005772,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,2,0.0005772005772005772,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,3045,8,13,0.002627257799671593,0.6153846153846154,1,0.0003284072249589491,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,4,0.0013136288998357964,0.3076923076923077,0,0.0,0.0,2,0.0006568144499178982,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0003284072249589491,0.07692307692307693,0,0.0,0.0,0,0.0,0.0
2017-10-29,3071,1,13,0.00032562683165092806,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.00032562683165092806,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,3561,2,13,0.0005616399887672002,0.15384615384615385,0,0.0,0.0,1,0.0002808199943836001,0.07692307692307693,1,0.0002808199943836001,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,3195,8,13,0.0025039123630672924,0.6153846153846154,1,0.00031298904538341156,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,4,0.0012519561815336462,0.3076923076923077,0,0.0,0.0,2,0.0006259780907668231,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00031298904538341156,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,3191,7,13,0.0021936696960200563,0.5384615384615384,1,0.00031338138514572234,0.07692307692307693,0,0.0,0.0,1,0.00031338138514572234,0.07692307692307693,3,0.000940144155437167,0.23076923076923078,0,0.0,0.0,1,0.00031338138514572234,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00031338138514572234,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-02,3405,3,13,0.000881057268722467,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,0.0002936857562408223,0.07692307692307693,2,0.0005873715124816446,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,3316,12,13,0.0036188178528347406,0.9230769230769231,2,0.0006031363088057901,0.15384615384615385,1,0.00030156815440289503,0.07692307692307693,3,0.0009047044632086852,0.23076923076923078,6,0.0018094089264173703,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,2852,3,13,0.0010518934081346423,0.23076923076923078,1,0.0003506311360448808,0.07692307692307693,0,0.0,0.0,1,0.0003506311360448808,0.07692307692307693,1,0.0003506311360448808,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-05,2849,1,13,0.000351000351000351,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.000351000351000351,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-06,3351,2,13,0.000596836765144733,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,0.0002984183825723665,0.07692307692307693,1,0.0002984183825723665,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-07,3577,13,13,0.00363433044450657,1.0,4,0.0011182555213866368,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,7,0.0019569471624266144,0.5384615384615384,0,0.0,0.0,1,0.0002795638803466592,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0002795638803466592,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-08,3353,2,13,0.0005964807634953773,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00029824038174768865,0.07692307692307693,0,0.0,0.0,1,0.00029824038174768865,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-09,3347,5,13,0.0014938751120406335,0.38461538461538464,1,0.00029877502240812666,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,4,0.0011951000896325067,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-10,2953,0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-11,2827,4,13,0.0014149274849663955,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,1,0.00035373187124159886,0.07692307692307693,2,0.0007074637424831977,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.00035373187124159886,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-12,3375,1,13,0.0002962962962962963,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0002962962962962963,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
