date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,12015,7,13,0.0005826050769870995,0.5384615384615384,1,8.322929671244278e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,3,0.00024968789013732833,0.23076923076923078,0,0.0,0.0,1,8.322929671244278e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00016645859342488556,0.15384615384615385,0,0.0,0.0
2017-10-27,11703,13,13,0.0011108262838588395,1.0,2,0.0001708963513628984,0.15384615384615385,1,8.54481756814492e-05,0.07692307692307693,4,0.0003417927027257968,0.3076923076923077,5,0.000427240878407246,0.38461538461538464,0,0.0,0.0,1,8.54481756814492e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,11367,11,13,0.000967713556787191,0.8461538461538461,1,8.797395970792646e-05,0.07692307692307693,0,0.0,0.0,2,0.00017594791941585291,0.15384615384615385,4,0.00035189583883170583,0.3076923076923077,0,0.0,0.0,3,0.0002639218791237794,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.797395970792646e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0
2017-10-29,11601,9,13,0.0007757951900698216,0.6923076923076923,0,0.0,0.0,1,8.61994655633135e-05,0.07692307692307693,4,0.000344797862253254,0.3076923076923077,2,0.000172398931126627,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.61994655633135e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,8.61994655633135e-05,0.07692307692307693,0,0.0,0.0
2017-10-30,12232,5,13,0.00040876389797253105,0.38461538461538464,0,0.0,0.0,1,8.175277959450622e-05,0.07692307692307693,1,8.175277959450622e-05,0.07692307692307693,1,8.175277959450622e-05,0.07692307692307693,0,0.0,0.0,2,0.00016350555918901244,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,11536,16,13,0.0013869625520110957,1.2307692307692308,3,0.00026005547850208044,0.23076923076923078,1,8.668515950069348e-05,0.07692307692307693,1,8.668515950069348e-05,0.07692307692307693,8,0.0006934812760055479,0.6153846153846154,0,0.0,0.0,2,0.00017337031900138697,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.668515950069348e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,11172,27,13,0.0024167561761546724,2.076923076923077,5,0.00044754744002864304,0.38461538461538464,0,0.0,0.0,2,0.00017901897601145723,0.15384615384615385,10,0.0008950948800572861,0.7692307692307693,2,0.00017901897601145723,0.15384615384615385,2,0.00017901897601145723,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.950948800572861e-05,0.07692307692307693,0,0.0,0.0,5,0.00044754744002864304,0.38461538461538464,0,0.0,0.0
2017-11-02,11671,12,13,0.0010281895296032901,0.9230769230769231,2,0.00017136492160054837,0.15384615384615385,0,0.0,0.0,1,8.568246080027418e-05,0.07692307692307693,9,0.0007711421472024676,0.6923076923076923,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,12046,34,13,0.0028225136974929436,2.6153846153846154,6,0.0004980906524987548,0.46153846153846156,6,0.0004980906524987548,0.46153846153846156,11,0.0009131661962477171,0.8461538461538461,10,0.0008301510874979246,0.7692307692307693,0,0.0,0.0,1,8.301510874979246e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-04,10665,15,13,0.0014064697609001407,1.1538461538461537,3,0.00028129395218002813,0.23076923076923078,0,0.0,0.0,4,0.00037505860290670416,0.3076923076923077,4,0.00037505860290670416,0.3076923076923077,0,0.0,0.0,4,0.00037505860290670416,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-05,10345,5,13,0.0004833252779120348,0.38461538461538464,0,0.0,0.0,1,9.666505558240696e-05,0.07692307692307693,2,0.00019333011116481392,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,9.666505558240696e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,9.666505558240696e-05,0.07692307692307693,0,0.0,0.0
2017-11-06,11528,6,13,0.000520471894517696,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,2,0.00017349063150589867,0.15384615384615385,3,0.000260235947258848,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.674531575294934e-05,0.07692307692307693
2017-11-07,12306,22,13,0.0017877458150495694,1.6923076923076923,5,0.0004063058670567203,0.38461538461538464,1,8.126117341134406e-05,0.07692307692307693,2,0.00016252234682268812,0.15384615384615385,11,0.0008938729075247847,0.8461538461538461,0,0.0,0.0,2,0.00016252234682268812,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,8.126117341134406e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-08,11620,14,13,0.0012048192771084338,1.0769230769230769,2,0.00017211703958691912,0.15384615384615385,1,8.605851979345956e-05,0.07692307692307693,2,0.00017211703958691912,0.15384615384615385,4,0.00034423407917383823,0.3076923076923077,0,0.0,0.0,5,0.0004302925989672978,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-09,11534,13,13,0.001127102479625455,1.0,1,8.670019074041963e-05,0.07692307692307693,0,0.0,0.0,1,8.670019074041963e-05,0.07692307692307693,7,0.0006069013351829374,0.5384615384615384,0,0.0,0.0,2,0.00017340038148083925,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00017340038148083925,0.15384615384615385,0,0.0,0.0
