date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,13868,7,13,0.000504759157773291,0.5384615384615384,0,0.0,0.0,1,7.210845111047014e-05,0.07692307692307693,1,7.210845111047014e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,3,0.00021632535333141045,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014421690222094028,0.15384615384615385
2017-10-27,13437,5,13,0.00037210686909280345,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014884274763712137,0.15384615384615385,0,0.0,0.0,3,0.00022326412145568208,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,13710,11,13,0.0008023340627279358,0.8461538461538461,0,0.0,0.0,1,7.293946024799416e-05,0.07692307692307693,3,0.0002188183807439825,0.23076923076923078,3,0.0002188183807439825,0.23076923076923078,0,0.0,0.0,2,0.00014587892049598833,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014587892049598833,0.15384615384615385,0,0.0,0.0
2017-10-29,15022,4,13,0.00026627612834509385,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.00013313806417254693,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00013313806417254693,0.15384615384615385,0,0.0,0.0
2017-10-30,14357,8,13,0.000557219474820645,0.6153846153846154,1,6.965243435258063e-05,0.07692307692307693,1,6.965243435258063e-05,0.07692307692307693,1,6.965243435258063e-05,0.07692307692307693,3,0.00020895730305774186,0.23076923076923078,0,0.0,0.0,2,0.00013930486870516125,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,14301,3,13,0.00020977554017201594,0.23076923076923078,0,0.0,0.0,1,6.992518005733865e-05,0.07692307692307693,1,6.992518005733865e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,6.992518005733865e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,14344,14,13,0.0009760178471834914,1.0769230769230769,3,0.0002091466815393196,0.23076923076923078,2,0.00013943112102621306,0.15384615384615385,3,0.0002091466815393196,0.23076923076923078,3,0.0002091466815393196,0.23076923076923078,0,0.0,0.0,2,0.00013943112102621306,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.971556051310653e-05,0.07692307692307693,0,0.0,0.0
2017-11-02,14836,8,13,0.0005392289026691831,0.6153846153846154,0,0.0,0.0,0,0.0,0.0,3,0.00020221083850094365,0.23076923076923078,1,6.740361283364789e-05,0.07692307692307693,0,0.0,0.0,2,0.00013480722566729578,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00013480722566729578,0.15384615384615385,0,0.0,0.0
2017-11-03,13894,15,13,0.001079602706204117,1.1538461538461537,4,0.0002878940549877645,0.3076923076923077,2,0.00014394702749388226,0.15384615384615385,2,0.00014394702749388226,0.15384615384615385,6,0.00043184108248164676,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.197351374694113e-05,0.07692307692307693,0,0.0,0.0
2017-11-04,15292,12,13,0.0007847240387130526,0.9230769230769231,2,0.00013078733978550875,0.15384615384615385,1,6.539366989275438e-05,0.07692307692307693,3,0.00019618100967826315,0.23076923076923078,2,0.00013078733978550875,0.15384615384615385,0,0.0,0.0,4,0.0002615746795710175,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-05,14944,7,13,0.0004684154175588865,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,4,0.0002676659528907923,0.3076923076923077,1,6.691648822269808e-05,0.07692307692307693,0,0.0,0.0,2,0.00013383297644539615,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-06,14180,5,13,0.0003526093088857546,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.052186177715091e-05,0.07692307692307693,0,0.0,0.0,2,0.00014104372355430183,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014104372355430183,0.15384615384615385,0,0.0,0.0
2017-11-07,15344,6,13,0.0003910323253388947,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,1,6.517205422314912e-05,0.07692307692307693,2,0.00013034410844629823,0.15384615384615385,0,0.0,0.0,2,0.00013034410844629823,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.517205422314912e-05,0.07692307692307693,0,0.0,0.0
2017-11-08,14332,2,13,0.00013954786491766677,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,2,0.00013954786491766677,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-09,14296,6,13,0.00041969781757134864,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0003497481813094572,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.994963626189144e-05,0.07692307692307693,0,0.0,0.0
2017-11-10,13483,5,13,0.00037083735073796634,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014833494029518654,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.0002225024104427798,0.23076923076923078,0,0.0,0.0
2017-11-11,13927,3,13,0.00021540891792920226,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,7.180297264306742e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.00014360594528613484,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-12,14307,3,13,0.00020968756552736424,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.989585517578807e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00013979171035157615,0.15384615384615385,0,0.0,0.0
2017-11-13,15631,8,13,0.0005118034674684921,0.6153846153846154,1,6.397543343356151e-05,0.07692307692307693,0,0.0,0.0,2,0.00012795086686712303,0.15384615384615385,3,0.00019192630030068453,0.23076923076923078,0,0.0,0.0,2,0.00012795086686712303,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-14,14214,7,13,0.0004924722104966934,0.5384615384615384,1,7.035317292809905e-05,0.07692307692307693,1,7.035317292809905e-05,0.07692307692307693,1,7.035317292809905e-05,0.07692307692307693,2,0.0001407063458561981,0.15384615384615385,0,0.0,0.0,2,0.0001407063458561981,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-15,14414,8,13,0.0005550159567087554,0.6153846153846154,1,6.937699458859442e-05,0.07692307692307693,0,0.0,0.0,3,0.00020813098376578327,0.23076923076923078,1,6.937699458859442e-05,0.07692307692307693,0,0.0,0.0,3,0.00020813098376578327,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-16,13197,5,13,0.00037887398651208605,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,2,0.00015154959460483443,0.15384615384615385,1,7.577479730241721e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00015154959460483443,0.15384615384615385,0,0.0,0.0
2017-11-17,13018,2,13,0.00015363343063450608,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,7.681671531725304e-05,0.07692307692307693,1,7.681671531725304e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-18,12925,5,13,0.00038684719535783365,0.38461538461538464,0,0.0,0.0,1,7.736943907156673e-05,0.07692307692307693,3,0.0002321083172147002,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,7.736943907156673e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-19,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-20,13594,2,13,0.00014712373105781962,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00014712373105781962,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-21,13367,4,13,0.0002992444078701279,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.00014962220393506396,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,1,7.481110196753198e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.481110196753198e-05,0.07692307692307693,0,0.0,0.0
2017-11-22,13251,3,13,0.00022639800769753225,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,7.546600256584409e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,7.546600256584409e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.546600256584409e-05,0.07692307692307693,0,0.0,0.0
2017-11-23,12655,7,13,0.0005531410509679968,0.5384615384615384,1,7.902015013828527e-05,0.07692307692307693,0,0.0,0.0,1,7.902015013828527e-05,0.07692307692307693,2,0.00015804030027657053,0.15384615384615385,0,0.0,0.0,2,0.00015804030027657053,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.902015013828527e-05,0.07692307692307693,0,0.0,0.0
2017-11-24,13942,0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-25,15544,9,13,0.0005790015440041174,0.6923076923076923,1,6.433350488934638e-05,0.07692307692307693,1,6.433350488934638e-05,0.07692307692307693,3,0.00019300051466803912,0.23076923076923078,1,6.433350488934638e-05,0.07692307692307693,0,0.0,0.0,1,6.433350488934638e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00012866700977869275,0.15384615384615385,0,0.0,0.0
2017-11-26,14605,7,13,0.00047928791509756934,0.5384615384615384,0,0.0,0.0,2,0.00013693940431359124,0.15384615384615385,3,0.00020540910647038685,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.00013693940431359124,0.15384615384615385,0,0.0,0.0
2017-11-27,15226,9,13,0.0005910941810061736,0.6923076923076923,0,0.0,0.0,1,6.567713122290818e-05,0.07692307692307693,1,6.567713122290818e-05,0.07692307692307693,1,6.567713122290818e-05,0.07692307692307693,0,0.0,0.0,2,0.00013135426244581636,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.0002627085248916327,0.3076923076923077,0,0.0,0.0
2017-11-28,7570,4,7,0.0005284015852047556,0.5714285714285714,1,0.0001321003963011889,0.14285714285714285,0,0.0,0.0,0,0.0,0.0,1,0.0001321003963011889,0.14285714285714285,0,0.0,0.0,2,0.0002642007926023778,0.2857142857142857,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
