date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,14636,3,13,0.00020497403662202789,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,6.832467887400929e-05,0.07692307692307693,1,6.832467887400929e-05,0.07692307692307693,0,0.0,0.0,1,6.832467887400929e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,17786,6,13,0.0003373439784099854,0.46153846153846156,0,0.0,0.0,1,5.622399640166423e-05,0.07692307692307693,3,0.0001686719892049927,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,5.622399640166423e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,5.622399640166423e-05,0.07692307692307693,0,0.0,0.0
2017-10-28,15532,11,13,0.000708215297450425,0.8461538461538461,0,0.0,0.0,0,0.0,0.0,6,0.00038629925315477725,0.46153846153846156,1,6.438320885912955e-05,0.07692307692307693,0,0.0,0.0,4,0.0002575328354365182,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,24842,28,13,0.0011271234200144916,2.1538461538461537,0,0.0,0.0,0,0.0,0.0,18,0.0007245793414378874,1.3846153846153846,1,4.025440785766042e-05,0.07692307692307693,0,0.0,0.0,5,0.00020127203928830206,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.00016101763143064167,0.3076923076923077,0,0.0,0.0
2017-10-30,15465,2,13,0.00012932428063368897,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.466214031684449e-05,0.07692307692307693,0,0.0,0.0,1,6.466214031684449e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,17065,13,13,0.0007617931438617053,1.0,0,0.0,0.0,0,0.0,0.0,10,0.0005859947260474656,0.7692307692307693,2,0.00011719894520949311,0.15384615384615385,0,0.0,0.0,1,5.8599472604746556e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-01,26249,20,13,0.0007619337879538268,1.5384615384615385,0,0.0,0.0,1,3.809668939769134e-05,0.07692307692307693,10,0.0003809668939769134,0.7692307692307693,2,7.619337879538268e-05,0.15384615384615385,0,0.0,0.0,3,0.00011429006819307402,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,0.00015238675759076536,0.3076923076923077,0,0.0,0.0
2017-11-02,16557,11,13,0.0006643715648970224,0.8461538461538461,0,0.0,0.0,0,0.0,0.0,2,0.0001207948299812768,0.15384615384615385,2,0.0001207948299812768,0.15384615384615385,0,0.0,0.0,3,0.0001811922449719152,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.0001811922449719152,0.23076923076923078,1,6.03974149906384e-05,0.07692307692307693
2017-11-03,15528,11,13,0.000708397733127254,0.8461538461538461,3,0.00019319938176197836,0.23076923076923078,1,6.439979392065946e-05,0.07692307692307693,1,6.439979392065946e-05,0.07692307692307693,3,0.00019319938176197836,0.23076923076923078,0,0.0,0.0,2,0.00012879958784131891,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.439979392065946e-05,0.07692307692307693,0,0.0,0.0
2017-11-04,13822,10,13,0.0007234843003906816,0.7692307692307693,0,0.0,0.0,0,0.0,0.0,2,0.0001446968600781363,0.15384615384615385,1,7.234843003906815e-05,0.07692307692307693,0,0.0,0.0,6,0.0004340905802344089,0.46153846153846156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.234843003906815e-05,0.07692307692307693,0,0.0,0.0
2017-11-05,14945,3,13,0.00020073603211776515,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.00020073603211776515,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-06,15305,4,13,0.00026135249918327345,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.00013067624959163673,0.15384615384615385,2,0.00013067624959163673,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-07,15310,5,13,0.00032658393207054214,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,3,0.00019595035924232528,0.23076923076923078,1,6.531678641410843e-05,0.07692307692307693,0,0.0,0.0,1,6.531678641410843e-05,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
