date,n_tweets,total_count,hours_read,total_norm_by_total_tweets,total_norm_by_hour,climate change,climate change_norm_by_total_tweets,climate change_norm_by_hour,global warming,global warming_norm_by_total_tweets,global warming_norm_by_hour,warming,warming_norm_by_total_tweets,warming_norm_by_hour,climate,climate_norm_by_total_tweets,climate_norm_by_hour,carbon dioxide,carbon dioxide_norm_by_total_tweets,carbon dioxide_norm_by_hour,co2,co2_norm_by_total_tweets,co2_norm_by_hour,pollutionair quality,pollutionair quality_norm_by_total_tweets,pollutionair quality_norm_by_hour,climate crisis,climate crisis_norm_by_total_tweets,climate crisis_norm_by_hour,climatedenial,climatedenial_norm_by_total_tweets,climatedenial_norm_by_hour,climateemergency,climateemergency_norm_by_total_tweets,climateemergency_norm_by_hour,climate denial,climate denial_norm_by_total_tweets,climate denial_norm_by_hour,climateaction,climateaction_norm_by_total_tweets,climateaction_norm_by_hour,climate science,climate science_norm_by_total_tweets,climate science_norm_by_hour,drought,drought_norm_by_total_tweets,drought_norm_by_hour,water level,water level_norm_by_total_tweets,water level_norm_by_hour
2017-10-26,7157,13,13,0.0018164035210283638,1.0,5,0.000698616738857063,0.38461538461538464,0,0.0,0.0,1,0.0001397233477714126,0.07692307692307693,5,0.000698616738857063,0.38461538461538464,0,0.0,0.0,2,0.0002794466955428252,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-27,6848,8,13,0.0011682242990654205,0.6153846153846154,1,0.00014602803738317756,0.07692307692307693,1,0.00014602803738317756,0.07692307692307693,3,0.0004380841121495327,0.23076923076923078,1,0.00014602803738317756,0.07692307692307693,0,0.0,0.0,2,0.0002920560747663551,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-28,6452,1,13,0.00015499070055796651,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.00015499070055796651,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-29,7981,1,13,0.0001252975817566721,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,1,0.0001252975817566721,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-30,6928,0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-10-31,6369,5,13,0.0007850525985241011,0.38461538461538464,0,0.0,0.0,0,0.0,0.0,3,0.0004710315591144607,0.23076923076923078,0,0.0,0.0,0,0.0,0.0,1,0.0001570105197048202,0.07692307692307693,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0001570105197048202,0.07692307692307693,0,0.0,0.0
2017-11-01,7739,60,13,0.007752939656286342,4.615384615384615,14,0.0018090192531334797,1.0769230769230769,1,0.0001292156609381057,0.07692307692307693,6,0.0007752939656286342,0.46153846153846156,30,0.003876469828143171,2.3076923076923075,0,0.0,0.0,7,0.0009045096265667399,0.5384615384615384,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0001292156609381057,0.07692307692307693,1,0.0001292156609381057,0.07692307692307693,0,0.0,0.0
2017-11-02,7338,4,13,0.0005451076587626056,0.3076923076923077,0,0.0,0.0,0,0.0,0.0,2,0.0002725538293813028,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,2,0.0002725538293813028,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2017-11-03,6734,19,13,0.0028215028215028215,1.4615384615384615,4,0.000594000594000594,0.3076923076923077,0,0.0,0.0,3,0.0004455004455004455,0.23076923076923078,9,0.0013365013365013365,0.6923076923076923,0,0.0,0.0,2,0.000297000297000297,0.15384615384615385,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0001485001485001485,0.07692307692307693,0,0.0,0.0,0,0.0,0.0
2017-11-04,6486,0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
